refno,material,property_name,property_value,property_unit,Has material been reported to be superconducting?,What is the highest measured Tc?,What is the lowest temp for measurement at which material was not superconducting?,file
1564,Al1C1La3,tcn,1.02,K,No,,1.02,
PHC4220065,Al1C1Ni3,tcn,4.0,K,No,,4,
JPS0370673,Al1Ce0.0165La3,tc,1.45,K,Yes,1.45,,
JPS0370673,Al1Ce0.017La3,tc,0.77,K,Yes,0.77,,
JPS0370673,Al1Ce0.01La3,tc,3.92,K,Yes,3.92,,
RMP0350001,Al1Cu1Zr1,tcn,1.02,K,No,,1.02,
JPS0370673,Al1Gd0.001La3,tc,5.6,K,Yes,5.6,,
JPS0370673,Al1Gd0.003La3,tc,4.58,K,Yes,4.58,,
JPS0370673,Al1Gd0.0065La3,tc,2.79,K,Yes,2.79,,
658,Al1La1,tcn,0.33,K,No,,0.33,
RMP0350001,Al1Lu2,tcn,1.02,K,No,,1.02,
RMP0350001,Al1Os1,tc,0.39,K,Yes,0.39,,
LES0460339,Al1Sc1Au2,tc,4.4,K,Yes,4.4,,
PHC2540026,Al1Sr2Ca1.4Y0.6Cu3O9.1,tc,14.0,K,Yes,14,,
PHC2540026,Al1Sr2Ca2Cu3O10.1,tc,76.0,K,Yes,76,,
PHC2540026,Al1Sr2Ca2Cu3O9.3,tc,63.0,K,Yes,63,,
PHC2540026,Al1Sr2Ca2Cu3O9.5,tc,69.0,K,Yes,69,,
PHC2540026,Al1Sr2Ca2Cu3O9.7,tc,72.0,K,Yes,72,,
PHC2540026,Al1Sr2Ca2Cu3O9.9,tc,77.0,K,Yes,77,,
PHC2340120,Al1Sr2Ca3Cu4Oz,tc,110.0,K,Yes,110,,
PHC2340120,Al1Sr2Ca5Cu5Oz,tc,83.0,K,Yes,83,,
APJ0374342,Al1Sr2Ho0.4Ca0.6Cu2O7,tc,24.0,K,Yes,24,,
APJ0374342,Al1Sr2Ho0.5Ca0.5Cu2O7.05,tc,18.0,K,Yes,18,,
1377,Al1Th2,tc,0.09,K,Yes,0.09,,
RMP0350001,Al1Zr3,tc,0.73,K,Yes,0.73,,
1377,Al2.06Cu1,tc,0.65,K,Yes,0.65,,
JPS081023703,Al20.3V2,tc,1.49,K,Yes,1.49,,JPS081023703
JPS081124707,Al20.3V20,tc,1.49,K,Yes,1.49,,
PSS0640771,Al25Nb75,tc,17.5,K,Yes,17.5,,
RMP0350001,Al2Ca1,tcn,1.02,K,No,,1.02,
PRB0311329,Al2Ge2U1,tc,1.6,K,Yes,1.6,,
SSC0170241,Al2La1,tc,3.273,K,Yes,3.273,,
658,Al2Lu1,tcn,1.02,K,No,,1.02,
RMP0350001,Al2Mg3,tcn,0.35,K,No,,0.35,
RMP0350001,Al2Sc1,tcn,1.02,K,No,,1.02,
PRB0311329,Al2Si2U1,tc,1.34,K,Yes,1.34,,
RMP0350001,Al2Th1,tcn,0.35,K,No,,0.35,
RMP0350001,Al2Zr1,tc,0.35,K,Yes,0.35,,
P076014528,Al3Mg2,tc,0.87,K,Yes,0.87,,
1072,Al3Nb3,tc,18.4,K,Yes,18.4,,
RMP0350001,Al3Pd4Si1,tcn,1.02,K,No,,1.02,
1373,Al3Th1,tc,0.75,K,Yes,0.75,,
RMP0350001,Al3Ti1,tcn,1.02,K,No,,1.02,
PCS0312653,Al3U1,tcn,0.05,K,No,,0.05,
RMP0350001,Al3Zr1,tcn,1.02,K,No,,1.02,
RMP0350001,Al4Ca1,tcn,1.02,K,No,,1.02,
1519,Al99.925Mn0.075,tc,0.7,K,Yes,0.7,,
L094097002,Am1,tc,2.2,K,Yes,2.2,,
JPS087114712,Am1Pd5Al2,tcn,0.0,K,No,,0,
1982,As0.15Bi0.15Nb3Sn0.7,tc,18.07,K,Yes,18.07,,
1982,As0.15Ga0.15Nb3Sn0.7,tc,18.01,K,Yes,18.01,,
1982,As0.15In0.15Nb3Sn0.7,tc,17.99,K,Yes,17.99,,
1982,As0.15Nb3Pb0.15Sn0.7,tc,18.05,K,Yes,18.05,,
1982,As0.15Nb3Sn0.7Tl0.15,tc,17.98,K,Yes,17.98,,
1982,As0.15Nb3Sn0.85,tc,17.98,K,Yes,17.98,,
PR05016274,As0.1P0.9,tc,9.9,K,Yes,9.9,,
PHB1350239,As1,tc,2.7,K,Yes,2.7,,
JPS083093702,As1Cr1,tc,2.17,K,Yes,2.17,,
11,As1Cu3,tcn,1.28,K,No,,1.28,
PRL0663079,As1Ga1,tc,10.0,K,Yes,10,,
LES0550103,As1La1,tcn,0.08,K,No,,0.08,
JAP0533719,As1Nb3,tc,6.5,K,Yes,6.5,,
11,As1Ni1,tcn,1.28,K,No,,1.28,
35,As1Pd1,tcn,1.02,K,No,,1.02,
NPJ00116014,As2Cd3,tc,3.55,K,Yes,3.55,,
PR0150973,As2Te3,tc,4.4,K,Yes,4.4,,
LES0550103,As3La4,tc,6.5,K,Yes,6.5,,
PRB090054505,As3Mo2,tcn,2.0,K,No,,2,
930,As3Sn4,tc,1.23,K,Yes,1.23,,
PRB090054505,As4Mo5,tcn,2.0,K,No,,2,
32,Au0.05Zr0.95,tc,1.79,K,Yes,1.79,,
32,Au0.07Zr0.93,tc,2.52,K,Yes,2.52,,
LES0620197,Au0.098Pd0.02Ga2,tc,1.51,K,Yes,1.51,,
32,Au0.12Zr0.88,tc,2.78,K,Yes,2.78,,
1643,Au0.14Te0.86,tc,1.7,K,Yes,1.7,,
1643,Au0.15Te0.85,tc,1.64,K,Yes,1.64,,
1643,Au0.16Te0.84,tc,1.71,K,Yes,1.71,,
1643,Au0.18Te0.82,tc,1.56,K,Yes,1.56,,
32,Au0.1Zr0.9,tc,2.78,K,Yes,2.78,,
1643,Au0.22Te0.78,tc,1.54,K,Yes,1.54,,
SSC0480125,Au0.242Nb0.758,tc,10.56,K,Yes,10.56,,
1643,Au0.24Te0.76,tc,1.72,K,Yes,1.72,,
1643,Au0.25Te0.75,tc,1.85,K,Yes,1.85,,
LES0620197,Au0.278Ga0.722,tc,1.615,K,Yes,1.615,,
LES0620197,Au0.281Ga0.719,tc,1.587,K,Yes,1.587,,
1643,Au0.28Te0.72,tc,1.96,K,Yes,1.96,,
LES0620197,Au0.293Ga0.707,tc,1.63,K,Yes,1.63,,
LES0620197,Au0.2Ga0.8,tc,1.587,K,Yes,1.587,,
PR0190193,Au0.2La0.8,tc,4.23,K,Yes,4.23,,
ZPS0230149,Au0.2Nb0.8,tc,7.9,K,Yes,7.9,,
MTL0020090,Au0.2Pd1.8In1Y1,tc,1.24,K,Yes,1.24,,
1643,Au0.2Te0.8,tc,1.48,K,Yes,1.48,,
LES0620197,Au0.328Ga0.672,tc,1.668,K,Yes,1.668,,
1643,Au0.332Te0.668,tc,1.89,K,Yes,1.89,,
1643,Au0.35Te0.65,tc,1.58,K,Yes,1.58,,
1643,Au0.374Te0.626,tc,1.3,K,Yes,1.3,,
LES0620197,Au0.388Ga0.612,tc,1.355,K,Yes,1.355,,
1643,Au0.3Te0.7,tc,1.99,K,Yes,1.99,,
LES0620197,Au0.427Ga0.573,tc,1.378,K,Yes,1.378,,
LES0620197,Au0.499Ga0.501,tc,1.17,K,Yes,1.17,,
JPS084023705,Au0.635Ge0.205Yb0.16,tc,0.325,K,Yes,0.325,,
JPS084023705,Au0.64Ge0.22Yb0.14,tc,0.655,K,Yes,0.655,,
JPS082063704,Au0.65Pt0.35Te2,tc,4.1,K,Yes,4.1,,
LES0620197,Au0.85Pd0.15Ga2,tc,1.79,K,Yes,1.79,,
SSC0420043,Au0.915In0.085,tc,0.031,K,Yes,0.031,,
SSC0180139,Au0.91In0.09,tc,0.0423,K,Yes,0.0423,,
LES0620183,Au0.92Ga0.02In0.06,tc,0.0425,K,Yes,0.0425,,
LES0620183,Au0.92Ga0.04In0.04,tc,0.0682,K,Yes,0.0682,,
LES0620183,Au0.92Ga0.068In0.012,tc,0.137,K,Yes,0.137,,
LES0620183,Au0.92Ga0.06In0.02,tc,0.13,K,Yes,0.13,,
LES0620183,Au0.92Ga0.08,tc,0.168,K,Yes,0.168,,
SSC0180139,Au0.92In0.08,tc,0.0256,K,Yes,0.0256,,
SSC0180139,Au0.93In0.07,tc,0.0164,K,Yes,0.0164,,
LES0620197,Au0.93Pd0.07Ga2,tc,1.773,K,Yes,1.773,,
SSC0180139,Au0.94In0.06,tc,0.0111,K,Yes,0.0111,,
SSC0180139,Au0.95Ga0.05,tc,0.032,K,Yes,0.032,,
SSC0180139,Au0.95Sn0.05,tc,0.047,K,Yes,0.047,,
PR00803479,Au0.976Pd0.024Ga2,tc,1.56,K,Yes,1.56,,
SSC0420043,Au0.978In0.022,tc,0.0005,K,Yes,0.0005,,
PR00803479,Au0.988Pd0.012Ga2,tc,1.25,K,Yes,1.25,,
LES0620197,Au0.98Pd0.02Ga2,tc,1.51,K,Yes,1.51,,
SSC0420043,Au0.99In0.01,tcn,5.5e-05,K,No,,5.50E-05,
SSC0180139,Au0.9Ga0.1,tc,0.264,K,Yes,0.264,,
SSC0420043,Au0.9In0.1,tc,0.077,K,Yes,0.077,,
SSC0420043,Au1,tcn,3.8e-05,K,No,,3.80E-05,
MTL0020090,Au1.3Pd0.7In1Y1,tc,2.68,K,Yes,2.68,,
MTL0020090,Au1.6Pd0.4In1Y1,tc,2.64,K,Yes,2.64,,
MTL0020090,Au1.8Pd0.2In1Y1,tc,2.27,K,Yes,2.27,,
PLA0340080,Au16.7Pd16.6Te66.7,tc,4.6,K,Yes,4.6,,
PRB097014501,Au1Be1,tc,3.3,K,Yes,3.3,,
RMP0350001,Au1Be5,tcn,1.02,K,No,,1.02,
LES0990L27,Au1Ga40Mo8,tc,9.4,K,Yes,9.4,,
658,Au1La1,tcn,0.33,K,No,,0.33,
LES0460339,Au1Lu1,tc,0.37,K,Yes,0.37,,
RMP0350001,Au1Mg1,tcn,0.35,K,No,,0.35,
1377,Au1Na2,tcn,0.06,K,No,,0.06,
MTL0020090,Au1Pd1In1Y1,tc,2.3,K,Yes,2.3,,
RMP0350001,Au1Sb2,tc,0.58,K,Yes,0.58,,
LES0460339,Au1Sc1,tc,2.0,K,Yes,2,,
JPS082113704,Au1Te2,tc,2.3,K,Yes,2.3,,JPS082113704
1377,Au1Th2,tc,3.65,K,Yes,3.65,,
SSC0210239,Au1V3,tc,2.97,K,Yes,2.97,,
RMP0350001,Au1Zr3,tc,0.92,K,Yes,0.92,,
PR0134827,Au22La78,tc,3.934,K,Yes,3.934,,
PLA0340080,Au25Sb75,tc,6.7,K,Yes,6.7,,
MTL0020090,Au2Ga1Y1,tcn,0.5,K,No,,0.5,
MTL0020090,Au2In1Er1,tcn,0.5,K,No,,0.5,
MTL0020090,Au2In1Tm1,tcn,0.5,K,No,,0.5,
MTL0020090,Au2In1Y1,tc,1.74,K,Yes,1.74,,
MTL0020090,Au2In1Yb1,tcn,0.5,K,No,,0.5,
RMP0350001,Au2Na1,tcn,0.34,K,No,,0.34,
SSC0030097,Au2Pb1,tc,6.95,K,Yes,6.95,,
PLA0340080,Au30Pd3.3Te66.6,tc,2.6,K,Yes,2.6,,
JPS084023705,Au63.5Ge20.5Yb16,tc,0.36,K,Yes,0.36,,
JPS084023705,Au64Ge22Yb14,tc,0.68,K,Yes,0.68,,
L101027002,B0.015C0.985,tc,12.0,K,Yes,12,,
JPS076103710,B0.039C0.961Si1,tc,1.4,K,Yes,1.4,,
PRL098047003,B0.048C0.952,tc,6.6,K,Yes,6.6,,PRL098047003
NAT4440465,B0.057Si0.943,tc,0.34,K,Yes,0.34,,
11,B0.57Nb0.43,tcn,1.28,K,No,,1.28,
PHC3070017,B0.65C0.35Ba1.4Sr0.6Ca2Cu3OZ,tc,119.6,K,Yes,119.6,,
P067172508,B0.67Mg0.33,tc,6.1,K,Yes,6.1,,
PHC3920336,B0.69Mg0.31,tc,5.7,K,Yes,5.7,,
PR05708667,B0.6C0.4Sr0.5Ba1.5Ca2Cu3O9,tc,119.0,K,Yes,119,,
11,B0.72Mo0.28,tcn,1.28,K,No,,1.28,
PHC3070017,B0.7C0.3Ba1.5Sr0.5Ca2Cu3OZ,tc,117.65,K,Yes,117.65,,
11,B0.86Ba0.14,tcn,1.28,K,No,,1.28,
JPS076103710,B0.978C0.022Si1,tc,1.35,K,Yes,1.35,,
SCI2930273,B1,tc,11.0,K,Yes,11,,
MRB0100889,B1.1Ru1,tcn,1.1,K,No,,1.1,
PHC4680411,B1.92Nb0.86,tc,0.0,K,Yes,0,,
PRB079140505,B105,tc,1.5,K,Yes,1.5,,PRB079140505
PRB083184507,B12Li1.7,tc,7.05,K,Yes,7.05,,
PRB083184507,B12Li2.5,tc,6.62,K,Yes,6.62,,
SST017S250,B12Zr1,tc,6.2,K,Yes,6.2,,
1377,B1Co2,tcn,0.06,K,No,,0.06,
10,B1Cr2,tcn,1.2,K,No,,1.2,
1377,B1Fe2,tcn,0.06,K,No,,0.06,
PRB082094506,B1I3,tc,1.86,K,Yes,1.86,,
11,B1Ir1,tcn,1.28,K,No,,1.28,
1377,B1Mn2,tcn,0.06,K,No,,0.06,
1377,B1Mo1.5Ta0.5,tc,1.82,K,Yes,1.82,,
1377,B1Mo1.75Ta0.25,tc,3.05,K,Yes,3.05,,
1377,B1Mo1Re1,tc,5.09,K,Yes,5.09,,
PR1790452,B1Mo2,tc,5.86,K,Yes,5.86,,
11,B1N1,tcn,1.28,K,No,,1.28,
11,B1Nb1,tc,8.25,K,Yes,8.25,,
1377,B1Ni2,tcn,0.07,K,No,,0.07,
11,B1Pt1,tcn,1.28,K,No,,1.28,
465,B1Re2,tc,4.6,K,Yes,4.6,,
JPS0721724,B1Re3,tc,4.8,K,Yes,4.8,,
11,B1Rh1,tcn,1.28,K,No,,1.28,
10,B1Ru2,tcn,1.2,K,No,,1.2,
APJ0375535,B1Sr2Ca2Cu3O2N+3,tc,75.0,K,Yes,75,,
PHC2410137,B1Sr2Ca3Cu4O11,tc,110.0,K,Yes,110,,
APJ0375535,B1Sr2Ca3Cu4O2N+3,tc,110.0,K,Yes,110,,
APJ0375535,B1Sr2Ca4Cu5O13,tc,85.0,K,Yes,85,,
APJ0375535,B1Sr2Ca4Cu5O2N+3,tc,85.0,K,Yes,85,,
1377,B1Ta0.5W1.5,tc,1.94,K,Yes,1.94,,
1377,B1Ta1.25W0.75,tcn,0.06,K,No,,0.06,
1377,B1Ta1.5W0.5,tc,0.25,K,Yes,0.25,,
10,B1Th1,tcn,1.2,K,No,,1.2,
10,B1Ti1,tcn,1.2,K,No,,1.2,
10,B1V1,tcn,1.2,K,No,,1.2,
10,B1V2,tcn,1.2,K,No,,1.2,
11,B1W1,tcn,1.28,K,No,,1.28,
1377,B1W1.26Re0.74,tc,5.1,K,Yes,5.1,,
1377,B1W2,tc,3.22,K,Yes,3.22,,
JPS0741386,B2.03Nb1,tc,5.26,K,Yes,5.26,,
PHC4120266,B2.1Nb1,tc,9.1,K,Yes,9.1,,
JP01605979,B2.26Nb1,tc,9.2,K,Yes,9.2,,
SSC1470439,B2.2Nb1,tc,9.01,K,Yes,9.01,,SSC1470439
JP01605979,B2.32Nb1,tc,9.8,K,Yes,9.8,,
P077064506,B2.34Nb1,tc,9.16,K,Yes,9.16,,P077064506
SSC1470439,B2.4Nb1,tc,9.96,K,Yes,9.96,,SSC1470439
MRB0100889,B2.5Mo1,tc,8.1,K,Yes,8.1,,
SSC1470439,B2.6Nb1,tc,10.9,K,Yes,10.9,,SSC1470439
NAT4280542,B2.8C97.2,tc,4.0,K,Yes,4,,NAT4280542
SSC1470439,B2.8Nb1,tc,9.96,K,Yes,9.96,,SSC1470439
PHC3530011,B2Be1,tcn,5.0,K,No,,5,
LES0670249,B2Cr1,tcn,0.42,K,No,,0.42,
LES0670249,B2Hf1,tcn,0.42,K,No,,0.42,
PHC3660001,B2Mg0.5,tc,36.0,K,Yes,36,,
PHC3660001,B2Mg0.6,tc,36.9,K,Yes,36.9,,
PHC3660001,B2Mg0.7,tc,37.2,K,Yes,37.2,,
PHC3660001,B2Mg0.8,tc,38.0,K,Yes,38,,
PHC3660001,B2Mg0.9,tc,38.2,K,Yes,38.2,,
SUP0180667,B2Mg0.988Sc0.012,tc,41.4,K,Yes,41.4,,
SUP0180667,B2Mg1,tc,40.5,K,Yes,40.5,,
PHC3830197,B2Mo0.84,tcn,2.0,K,No,,2,
LES0670249,B2Mo1,tcn,0.42,K,No,,0.42,
P073224516,B2Nb0.3,tc,6.1,K,Yes,6.1,,P073224516
P073224516,B2Nb0.4,tc,6.57,K,Yes,6.57,,P073224516
P073224516,B2Nb0.5,tc,7.56,K,Yes,7.56,,P073224516
P073224516,B2Nb0.6,tc,8.04,K,Yes,8.04,,P073224516
P073224516,B2Nb0.7,tc,7.96,K,Yes,7.96,,P073224516
P073224516,B2Nb0.8,tc,4.55,K,Yes,4.55,,P073224516
PHC4680411,B2Nb0.83,tc,9.77,K,Yes,9.77,,
PHC3830197,B2Nb0.84,tc,9.1,K,Yes,9.1,,
P073224516,B2Nb0.9,tc,3.64,K,Yes,3.64,,P073224516
J076094705,B2Nb1,tc,9.5,K,Yes,9.5,,
P076214510,B2Os1,tc,2.17,K,Yes,2.17,,P076214510
MRB0100889,B2Ru1,tc,1.6,K,Yes,1.6,,
PHC3830197,B2Ta0.84,tcn,2.0,K,No,,2,
LES0670249,B2Ti1,tcn,0.42,K,No,,0.42,
LES0670249,B2V1,tcn,0.42,K,No,,0.42,
JEL0730532,B2Zr1,tc,5.5,K,Yes,5.5,,JEL0730532
CEM1630385,B3Be1.09,tc,0.72,K,Yes,0.72,,
SSC1470439,B3Nb1,tc,9.96,K,Yes,9.96,,SSC1470439
JPS0721724,B3Re7,tc,3.3,K,Yes,3.3,,
RMP0350001,B3Rh7,tcn,0.35,K,No,,0.35,
MRB0100889,B3Ru7,tc,3.38,K,Yes,3.38,,
SST031115005,B4.2W1,tc,2.1,K,Yes,2.1,,SST031115005
11,B4C1,tcn,1.28,K,No,,1.28,
11,B4Ta3,tcn,1.28,K,No,,1.28,
LES0670249,B5Mo2,tcn,0.42,K,No,,0.42,
LES0670249,B5W2,tcn,0.42,K,No,,0.42,
PRB096144501,B6Y1,tc,7.55,K,Yes,7.55,,PRB096144501
SSC0520659,B6Y6,tc,7.5,K,Yes,7.5,,
PRB089134504,Ba0.08K0.92Fe2As2,tc,6.37,K,Yes,6.37,,PRB089134504
APL0500543,Ba0.15La1.85Cu1O4,tc,28.0,K,Yes,28,,
JJP0260123,Ba0.15La1.85Cu1O4-Y,tc,30.0,K,Yes,30,,
PRB089134504,Ba0.18K0.82Fe2As2,tc,10.0,K,Yes,10,,PRB089134504
PHC3570414,Ba0.19K0.81Bi1O3,tc,8.4,K,Yes,8.4,,
PHC4690340,Ba0.1Fe0.9Se0.85,tc,10.6,K,Yes,10.6,,
PRB089134504,Ba0.1K0.9Fe2As2,tc,7.39,K,Yes,7.39,,PRB089134504
JJP0260223,Ba0.1La1.9Ag0.05Cu0.95O4-Y,tc,27.0,K,Yes,27,,
JJP0260223,Ba0.1La1.9Ag0.1Cu0.9O4-Y,tc,27.0,K,Yes,27,,
JJP0260223,Ba0.1La1.9Ag0.25Cu0.75O4-Y,tc,26.0,K,Yes,26,,
JJP0260223,Ba0.1La1.9Ag0.5Cu0.5O4-Y,tc,27.0,K,Yes,27,,
JJP0260223,Ba0.1La1.9Cu1O4-Y,tc,19.0,K,Yes,19,,
SST026085015,Ba0.1M1Hf1N1Cl1,tc,25.7,K,Yes,25.7,,
PRB089014510,Ba0.1Na0.9Fe2As2,tc,18.4,K,Yes,18.4,,PRB089014510
PHC3570414,Ba0.241K0.759Bi1O3,tcn,3.0,K,No,,3,
PHC3840343,Ba0.257K0.743Bi1O3,tcn,3.0,K,No,,3,
PRB089134504,Ba0.2K0.8Fe2As2,tc,14.5,K,Yes,14.5,,PRB089134504
JJP0260223,Ba0.2La1.8Cu1O4-Y,tc,29.0,K,Yes,29,,
JSC0090323,Ba0.2Mo1S2,tc,5.7,K,Yes,5.7,,
PRB089014510,Ba0.2Na0.8Fe2As2,tc,19.2,K,Yes,19.2,,PRB089014510
