property,unit,property_label,unit_label,conditions.temperature,conditions.field,conditions.pressure,methods,location.figure_or_table
phc1t,uhc1,Hc1 at given temperature for single crystal H//ab-plane,unit of Hc1,tempc1,,,mhc1,
nhc1t,uhc1,Hc1 at given temperature for single crystal H//c-axis,unit of Hc1,tempc1,,,mhc1,
hc2zero,uhc2,Hc2 at 0 K for poly crystal,unit of Hc2,,,,mhc2,
phc2zero,uhc2,Hc2 at 0 K for single crystal for H //ab-plane,unit of Hc2,,,,,
nhc2zero,uhc2,Hc2 at 0 K for single crystal for H //c-axis,unit of Hc2,,,,mhc2,
hc2t,uhc2,Hc2 at given temperature for poly crystal,unit of Hc2,tempc2,,,mhc2,
phc2t,uhc2,Hc2 at given temperature for single crystal H//ab-plane,unit of Hc2,tempc2,,,mhc2,
nhc2t,uhc2,Hc2 at given temperature for single crystal H//c-axis,unit of Hc2,tempc2,,,mhc2,
dhc2dt,udhc2dt,-slope in Hc2 vs T at Tc for poly crystal,unit of dHc2/dT,,,,mdhc2dt,
pdhc2dt,udhc2dt,-slope in Hc2 vs T at Tc for single crystal for H //ab-plane,unit of dHc2/dT,,,,mdhc2dt,
ndhc2dt,udhc2dt,-slope in Hc2 vs T at Tc for single crystal for H //c-axis,unit of dHc2/dT,,,,mdhc2dt,
cohere,ucohere,coherence length at 0 K for poly crystal,unit of COHERE,,,,mcohere,
pcohere,ucohere,coherence length at 0 K for single crystal for H //ab-plane,unit of COHERE,,,,mcohere,
ncohere,ucohere,coherence length at 0 K for single crystal for H ⊥ab-plane,unit of COHERE,,,,mcohere,
penet,upenet,penetration depth at 0 K for poly crystal,unit of PENET,,,,mpenet,
ppenet,upenet,penetration depth at 0 K for single crystal for H //ab-plane,unit of PENET,,,,mpenet,
npenet,upenet,penetration depth at 0 K for single crystal for H⊥ab-plane,unit of PENET,,,,mpenet,
gap,ugap,"energy gap at 0 K , delta(0)",unit of energy gap,,,,gapmeth,
gapene,ugap,"normarized energy gap at 0 K , 2delta(0)/kTc",unit of energy gap,,,,gapmeth,
jche,ugap,"Jc at 4.2 K, H = 0 T",unit of energy gap,,,,,
spjump,ujump,specific heat jump at Tc (delta-C),unit of SPJUMP,,,,,
gamma,ugamma,coefficient of electronic specific heat,unit of GAMMA,,,,,
thc300,uthc,thermal conductivity at 300 K,unit of thermal conductivity,,,,,thcfig
thc300n,uthc,thermal conductivity at 300 K for heat flow//c-axis,unit of thermal conductivity,,,,,thcfig
thc300p,uthc,thermal conductivity at 300 K for heat flow//ab-plane,unit of thermal conductivity,,,,,thcfig
tp300,utp,thermopower at 300 K,unit of thermopower,,,,,tpfig
tp300n,utp,thermopower at 300 K for normal to ab-plane,unit of thermopower,,,,,tpfig
tp300p,utp,thermopower at 300 K for parallel to ab-plane,unit of thermopower,,,,,tpfig
reshe,ures,resistivity at 4.2 K for poly crystal,unit of resistivity,,,,,
abreshe,ures,resistivity at 4.2 K for single crystal for J//ab-plane,unit of resistivity,,,,,
creshe,ures,resistivity at 4.2 K for single crystal for J//c-axis,unit of resistivity,,,,,
res77,ures,resistivity at 77 K for poly crystal,unit of resistivity,,,,,
abres77,ures,resistivity at 77 K for single crystal for J//ab-plane,unit of resistivity,,,,,
cres77,ures,resistivity at 77 K for single crystal for J//c-axis,unit of resistivity,,,,,
resn,ures,resistivity at normal-T for poly crystal,unit of resistivity,nort,,,,
abresn,ures,resistivity at normal-T for single crystal for J//ab-plane,unit of resistivity,nort,,,,
cresn,ures,resistivity at normal-T for single crystal for J//c-axis,unit of resistivity,nort,,,,
resrt,ures,resistivity at RT for poly crystal,unit of resistivity,,,,,
abresrt,ures,resistivity at RT for single crystal for J//ab-plane,unit of resistivity,,,,,
cresrt,ures,resistivity at RT for single crystal for J//c-axis,unit of resistivity,,,,,
rh300,uhall,Hall coefficient at 300 K,unit of RH300,,field,,,hallfig
rh300n,uhall,"Hall coefficient at 300 K for single, H//c-axis",unit of RH300,,field,,,hallfig
rh300p,uhall,"Hall coefficient at 300 K for single, H//ab-plane",unit of RH300,,field,,,hallfig
carrier,ucarr,carrier density at 300 K,unit of carrier density,,,,,
debyet,utc,Debye temperature,unit of Tc,,,,mdebye,
curiet,utc,Curie temperature,unit of Tc,,,,,
neelt,utc,Neel temperature,unit of Tc,,,,,
str1,,"*crystal structure, symmetry",,,,,analm,
name,,,,,,,,
element,,,,,,,,
shape,,,,,,,,
dens,,,,,,,,
pohe,,,,,,,,
po300,,,,,,,,
str3,,,,,,,,
spaceg,,,,,,,,
tblno,,,,,,,,
isotope,,,,,,,,
isoel,,,,,,,,
isorat,,,,,,,,
dtc,,,,,,,,
vols,,,,,,,,
jc77,,,,,,,,
rhn,,,,,,,,
rawmat,,,,,,,,
method,,,,,,,,
subst,,,,,,,,
target,,,,,,,,
