property_name,condition_name,not_important,data_type,rubric,category,description,SI
Catalytic Activity (k_cat),pH,,float,,,,dimensionless
Catalytic Activity (k_cat),Temperature,,float,,,,K
Catalytic Activity (k_cat),,,float,,biological_and_kinetic_properties,The speed of the enzyme. Cold water requires 'psychrophilic' enzymes that maintain a high catalytic rate at 15°C.,1/s
Michaelis Constant (Km),Enzyme ID,,string,,,,
Michaelis Constant (Km),Substrate ID,,string,,,,
Michaelis Constant (Km),Buffer System,,string,,,,
Michaelis Constant (Km),,,float,,biological_and_kinetic_properties,Measures enzyme affinity for a stain. A low Km means the enzyme is highly effective even at low stain concentrations.,mol/L
Enzyme Half-life (t1/2),Enzyme ID,,string,,,,
Enzyme Half-life (t1/2),Inhibitor ID,,string,,,,
Enzyme Half-life (t1/2),Storage Temp,,float,,,,K
Enzyme Half-life (t1/2),pH,,float,,,,dimensionless
Enzyme Half-life (t1/2),,,float,,biological_and_kinetic_properties,Bottle stability. Cold-water enzymes are fragile and need stabilization to prevent degradation by other formula components.,s
Biodegradability Rate,Substance ID,,string,,,,
Biodegradability Rate,Inoculum Type,,string,,,,
Biodegradability Rate,Duration,,float,,,,s
Biodegradability Rate,,,float,,biological_and_kinetic_properties,The environmental footprint. High biodegradability is a key requirement for biosurfactants like rhamnolipids.,%
Dynamic Viscosity (η),Formulation ID,,string,,,,
Dynamic Viscosity (η),Shear Rate,,float,,,,1/s
Dynamic Viscosity (η),Temperature,,float,,,,K
Dynamic Viscosity (η),,,float,,rheological_and_physical_properties,"Defines pourability. In cold weather, detergents can thicken; viscosity must be extracted across a temperature range to ensure usability.",Pa·s
Dissolution Time,Formulation Form,,string,,,,
Dissolution Time,Water Volume,,float,,,,L
Dissolution Time,Agitation Speed,,float,,,,rad/s
Dissolution Time,Temperature,,float,,,,K
Dissolution Time,,,float,,rheological_and_physical_properties,"Speed of solubility. In cold HE washes, if dissolution takes >45 seconds, it can leave white residues on clothing.",s
Pour Point,Formulation ID,,string,,,,
Pour Point,Hydrotrope/Solvent Concentration,,float,,,,mol/L
Pour Point,,,float,,rheological_and_physical_properties,The lowest temperature at which the liquid flows. Crucial for products stored in unheated environments.,K
Foam Height,Surfactant Blend,,string,,,,
Foam Height,Water Hardness,,float,,,,mg/L CaCO₃
Foam Height,Concentration,,float,,,,mol/L
Foam Height,Temperature,,float,,,,K
Foam Height,,,float,,rheological_and_physical_properties,"Measures sudsing. Excess foam in a cold wash can cause 'sudslock' in HE machines, stopping mechanical cleaning action.",m
