property_name,count,count of units,examples of property_value/property_unit pairs,data_type,rubric,category,definition,SI
*method of analysis for structure,3,0,"1/-, 3/-",String,categorical,Methods,*method of analysis for structure (1.X-ray crystallography 2.Neutron　crystallography 3.Powder x-ray diffraction 4.Powder neutron diffraction　5.Electron diffraction）,
exchange ratio of isotope(%),3,0,"85/-, 86/-, 90/-",Float,0.1% SI,Chemical,"The isotope shift coefficient ($\alpha$) quantifying the dependence of the superconducting transition temperature ($T_c$) on the atomic mass ($M$) of the constituent elements, where $T_c \propto M^{-\alpha}$.",
DTC = Tc - Tc0 for isotope element,3,0,"2.6/-, 1.5/-, 1.6/-",Float,0.1% SI,Electronic,The change in superconducting critical temperature due to the presence of an isotope element.,
"alpha in Tc = A * M^(-alpha), isotope effect",3,0,"0.9/-, 0.5/-, 0.54/-",Float,0.1% SI,Electronic,"The exponent $\alpha$ relating the critical temperature ($T_c$) of a superconductor to the isotopic mass ($M$) as $T_c \propto M^{-\alpha}$, defining the magnitude of the isotope effect.",
carrier density at 300 K,3,3,"3.00E+22/n/cm3, 6.98E+27/n/m3, 4.80E+16/cm-2",Double,0.1% SI,Electronic,carrier density at 300K,
coefficient of electronic specific heat,3,1,"43.7/mJ/mol.K2, 5.2/mJ/mol.K2, 111.8/mJ/mol.K2",Float,0.1% SI,Electronic,coefficient of electronic specific heat,
coherence length at 0 K for single crystal for H //ab-plane,3,1,"138/A, 14.2/A, 14.5/A",Float,0.1% SI,Electronic,coherence length at 0 K for single crystal for H //ab plane,
Debye temperature,3,0,"640/-, 221/-, 428/-",Float,0.1% SI,Electronic,Debye temperature,
transition temperature (R = 0),2,0,"0.84/-, 2.76/-",Float,0.1% SI,Electronic,The temperature below which a superconductor exhibits zero electrical resistivity ($R=0$).,
Hc1 at given temperature for poly crystal,2,2,"3/mT, 10/Oe",Float,0.1% SI,Electronic,Hc1 at given temperature for poly crystal,
Hc1 at 0 K for single crystal for H //ab-plane,2,1,"53/Oe, 230/Oe",Float,0.1% SI,Electronic,Hc1 at 0 K for single crystal for H //ab plane,
resistivity at 77 K for single crystal for J//ab-plane,2,1,"0.6/mohmcm, 0.4/mohmcm",Float,0.1% SI,Electronic,"The electrical resistivity of a single crystal measured at 77 Kelvin, with the current density (J) applied parallel to the crystal's ab-plane.",
tc measurement method,2,1,"1/K, 3/K",Integer,categorical,Methods,"A technique used to determine the superconducting critical temperature ($T_c$), categorized by methods such as: 1. magnetization, 2. AC susceptibility, 3. resistivity, 4. heat capacity, 5. tunneling, 6. infrared spectroscopy, 7. thermal conductivity, 8. Raman spectroscopy, 9. nuclear magnetic resonance, 10. surface impedance, 11. neutron diffraction, 12. photoemission spectroscopy, 13. microwave transmission, or 14. others.",
Curie temperature,2,0,"-1.23/-, -1.82/-",Float,0.1% SI,Electronic,Curie temperature,
Curie constant,2,1,"0.0000717/emu/mol, 0.000288/emu/mol",Double,0.1% SI,Electronic,Curie constant,
target material,2,0,"Bi2212 composition/-, stoichiometric YBCO/-",String,pymatgen,Chemical,The source material used for the synthesis of a superconducting material.,
thermal conductivity at 300 K,2,2,"1.54/W/K.m, 7.29/W/m.K",Float,0.1% SI,Electronic,"The material's ability to conduct heat, measured at a temperature of 300 Kelvin.",
international table number,2,0,"186/-, 217/-",Integer,categorical,Structural,"The number assigned to a space group, found in the International Tables for Crystallography, which defines the symmetry of a crystal structure.",
"Jc at 4.2 K, H = 0 T",2,0,"12000000/-, 2700000/-",Double,0.1% SI,Electronic,"Jc at 4.2K, H=0 T",
magnetic field for Hall effect,2,0,1/-,Float,0.1% SI,Environmental,magnetic field for Hall effect,
"energy gap at 0 K , delta(0)",2,2,"0.38/meV, 10.6/k<B>T",Float,0.1% SI,Electronic,"The minimum energy, denoted as $\Delta(0)$, required to break an electronic pair into two individual quasi-particles in a superconductor at absolute zero (0K).",
density (gcm-3),2,0,"10/-, 13.98/-",Float,0.1% SI,Chemical,Density,
Hc2 at 0 K for single crystal for H //c-axis,2,2,"1.58/T, 1140/Oe",Float,0.1% SI,Electronic,Hc2 at 0 K for single crystal for H //c-axis,
transition temperature (mid point),2,0,"3.7/-, 0.93/-",Float,0.1% SI,Electronic,The critical temperature ($T_c$) of a superconductor measured as the temperature at which the electrical resistivity (R) reaches 50% of its normal-state value during the transition to the superconducting state.,
Hc2 at given temperature for single crystal H//ab-plane,2,1,"0/T, 8.35/T",Float,0.1% SI,Electronic,Hc2 at given temperature for single crystal H//ab-plane,
transition width for resistive transition,2,1,"0.1/K, 0.15/K",Float,0.1% SI,Electronic,The temperature range where a superconductor's electrical resistivity drops from 90% to 10% during the transition to the superconducting state.,
coherence length at 0 K for single crystal for H ⊥ab-plane,2,1,"144/A, 22/-",Float,0.1% SI,Electronic,"The characteristic size of a Cooper pair or the spatial scale over which the superconducting order parameter varies at zero temperature, measured for a single crystal with the magnetic field applied perpendicular to the ab-plane.",
"Jc at T = 77 K, H = 0 T",2,0,"100000/-, 500000/-",Double,0.1% SI,Electronic,"Jc at T=77K,H=0T",
magnetic moment per formula,2,1,0.00482/myu-B/mol,Float,0.1% SI,Electronic,magnetic moment per formula,
substrate,1,0,Mo foil/-,String,pymatgen,Environmental,The foundational material onto which a superconducting thin film is grown or deposited.,
Hall coefficient at 300 K,1,1,8.95E-10/m3/C,Double,0.1% SI,Electronic,Hall coefficient at 300K,
thermopower at 300 K for parallel to ab-plane,1,1,100/microW/mK2,Float,0.1% SI,Electronic,thermopower at 300K for parallel to ab-plane,
-slope in Hc2 vs T at Tc for single crystal for H //c-axis,1,1,0.707/T/K,Float,0.1% SI,Electronic,-slope in Hc2 vs T at Tc for single crystal for H //c-axis,
-slope in Hc2 vs T at Tc for single crystal for H //ab-plane,1,1,0.782/T/K,Float,0.1% SI,Electronic,-slope in Hc2 vs T at Tc for single crystal for H //ab plane,
thermopower at 300 K,1,1,10.1/uV/K,Float,0.1% SI,Electronic,thermopower at 300K,
specific heat jump at Tc (delta-C),1,1,1.51/gamma*Tc,Float,0.1% SI,Electronic,specific heat jump at Tc (delta-C),
resistivity at 77 K for poly crystal,1,1,0.033/ohm.cm,Float,0.1% SI,Electronic,resistivity at 77K for poly crystal,
"Hall coefficient at 300 K for single, H//ab-plane",1,1,-3.00E-10/m3/C,Double,0.1% SI,Electronic,"The measure of how free charge carriers in a single-crystal material respond to a magnetic field applied parallel to the ab-plane, specifically measured at 300 K.",
"Hall coefficient at 300 K for single, H//c-axis",1,1,3.00E-10/m3/C,Double,0.1% SI,Electronic,"The Hall coefficient measured at 300 K for a single-crystal material, specifically indicating the response of free charge carriers to a magnetic field applied parallel to the c-axis.",
Hc2 at given temperature for single crystal H//c-axis,1,1,0.327/T,Float,0.1% SI,Electronic,Hc2 at given temperature for single crystal H//c-axis,
normal temperature,1,0,10/-,Float,0.1% SI,Environmental,"The temperature, typically room temperature, at which a material is in its normal state and does not exhibit superconductivity.",
Hc2 at given temperature for poly crystal,1,1,6.8/mT,Float,0.1% SI,Electronic,Hc2 at given temperature for poly crystal,
penetration depth at 0 K for single crystal for H⊥ab-plane,1,1,3110/A,Float,0.1% SI,Electronic,"The magnetic field penetration distance in a single crystal superconductor at zero temperature, measured with the field perpendicular to the ab-plane, reflecting the superfluid density along the c-axis.",
pressure dependence of LATA,1,1,0.08/%/GPa,Float,0.1% SI,Structural,The change in the lattice constant 'a' (a crystallographic dimension) of a material in response to applied external pressure.,
pressure dependence of LATB,1,1,0.73/%/GPa,Float,0.1% SI,Structural,The rate at which the lattice constant 'b' of a crystal structure changes in response to applied external pressure.,
pressure dependence of LATC,1,1,0.22/%/GPa,Float,0.1% SI,Structural,The change in the lattice constant 'c' (one of the unit cell dimensions) of a crystal structure in response to applied pressure.,
Hc1 at given temperature for single crystal H//c-axis,1,1,100/Oe,Float,0.1% SI,Electronic,Hc1 at given temperature for single crystal H//c-axis,
resistivity at 4.2 K for poly crystal,1,1,4.22/mic.ohm.cm,Float,0.1% SI,Electronic,resistivity at 4.2K for poly crystal,
resistivity at 4.2 K for single crystal for J//ab-plane,1,1,0.014/mOhm.cm,Float,0.1% SI,Electronic,Electrical resistivity measured at 4.2 Kelvin for a single-crystal material when the current density (J) flows parallel to the ab-plane of the crystal structure. This value typically represents the residual or normal-state resistivity just above the superconducting transition temperature.,
resistivity at 4.2 K for single crystal for J//c-axis,1,1,0.026/mOhm.cm,Float,0.1% SI,Electronic,"The electrical resistivity of a single crystal, measured at 4.2 K, with the current density (J) directed parallel to the c-axis, used to study fundamental electronic transport properties at cryogenic temperatures.",
Hc1 at given temperature for single crystal H//ab-plane,1,1,114/Oe,Float,0.1% SI,Electronic,Hc1 at given temperature for single crystal H//ab-plane,
Hc1 at 0 K for single crystal for H //c-axis,1,1,68/Oe,Float,0.1% SI,Electronic,Hc1 at 0 K for single crystal for H //c-axis,
Hc1 at 0 K for poly crystal,1,1,57/Oe,Float,0.1% SI,Electronic,Hc1 at 0 K for poly crystal,
"Hall coefficient for single, H//c-axis",1,0,8.95E-10/-,Double,0.1% SI,Electronic,"The Hall coefficient specifically measured in a single crystal material where the applied magnetic field (H) is oriented parallel to the crystallographic c-axis, quantifying the response of free charge carriers to the magnetic field in this configuration.",
maximum pressure applied,1,0,50.8/-,Float,0.1% SI,Environmental,The highest pressure applied to a sample in an experiment.,
