db_label,count,property_name,unique property_unit,data_type,category,rubric,prompt,claude,SI,description
cohere,837,coherence length at 0 K for poly crystal,"A, nm, micron, um, mm",Float,Electronic,0.1% SI,"What is the SI unit for coherence length at 0 K for poly crystal? Equivalent units are: A, nm, micron, um, mm",Loading...,m,coherence length at 0 K for poly crystal
penet,767,penetration depth at 0 K for poly crystal,"A, nm, um, micrometer, micron.m, microm",Float,Electronic,0.1% SI,"What is the SI unit for penetration depth at 0 K for poly crystal? Equivalent units are: A, nm, um, micrometer, micron.m, microm",Loading...,m,penetration depth at 0 K for poly crystal
tcwidth,1352,transition width for resistive transition,K,Float,Electronic,0.1% SI,What is the SI unit for transition width for resistive transition? Equivalent units are: K,Loading...,K,transition width for resistive transition
t1,4051,transition temperature (R = 0),"K, k",Float,Electronic,0.1% SI,"What is the SI unit for transition temperature (R = 0)? Equivalent units are: K, k","The SI unit for transition temperature (R = 0) is the kelvin (K).

The kelvin is the base SI unit of temperature, named after physicist William Thomson, 1st Baron Kelvin. It's defined by setting the fixed numerical value of the Boltzmann constant (k) to 1.380649 × 10^-23 J/K.

Note that ""k"" (lowercase) is not an equivalent unit for temperature - it typically represents the Boltzmann constant, which has units of J/K (joules per kelvin).",K,transition temperature (R=0)
t3,4606,transition temperature (R = 100%),K,Float,Electronic,0.1% SI,What is the SI unit for transition temperature (R = 100%)? Equivalent units are: K,Loading...,K,transition temperature (R=100%)
rh300,533,Hall coefficient at 300 K,"E-4 cm3/C, m3/C, cm3/C, e-3 cm3/C, Ohm.cm, E-8 m3/C, E-3 cm3/C, E-10 m3/C, 10-3cm3/C, E-9m3/C, mm3/C, m3C-1(20K), cm3C-1",Double,Electronic,0.1% SI,"What is the SI unit for Hall coefficient at 300 K? Equivalent units are: E-4 cm3/C, m3/C, cm3/C, e-3 cm3/C, Ohm.cm, E-8 m3/C, E-3 cm3/C, E-10 m3/C, 10-3cm3/C, E-9m3/C, mm3/C, m3C-1(20K), cm3C-1",Loading...,m^3/C,Hall coefficient at 300K
rhn,145,"Hall coefficient for single, H//c-axis",#N/A,Double,Electronic,0.1% SI,#N/A,,m^3/C,"Hall coefficient for single, H//c-axis"
dens,360,density (gcm-3),#N/A,Float,Chemical,0.1% SI,#N/A,,g/cm^3,Density
tcsus,5608,Tc from susceptibility measurement,K,Float,Electronic,0.1% SI,What is the SI unit for Tc from susceptibility measurement? Equivalent units are: K,Loading...,K,Tc from susceptibility measurement
hc1t,116,Hc1 at given temperature for poly crystal,"Oe, mT, T",Float,Electronic,0.1% SI,"What is the SI unit for Hc1 at given temperature for poly crystal? Equivalent units are: Oe, mT, T",Loading...,T,Hc1 at given temperature for poly crystal
hc2t,126,Hc2 at given temperature for poly crystal,"T, Oe, mT, kOe",Float,Electronic,0.1% SI,"What is the SI unit for Hc2 at given temperature for poly crystal? Equivalent units are: T, Oe, mT, kOe",Loading...,T,Hc2 at given temperature for poly crystal
spjump,129,specific heat jump at Tc (delta-C),"mj/mol.K, J/MOLE.K, mJ/mol.K, mJ/mol.K2, dC/r*Tc, J/kg.K, mJ/cm3.K, mJ/mole.K, J/mol.K, Jmol-1K-2, mJ/molK2, mJ/K.mol, MJ/GAT.K, J/mol.K2, gamma*Tc",Float,Electronic,0.1% SI,"What is the SI unit for specific heat jump at Tc (delta-C)? Equivalent units are: mj/mol.K, J/MOLE.K, mJ/mol.K, mJ/mol.K2, dC/r*Tc, J/kg.K, mJ/cm3.K, mJ/mole.K, J/mol.K, Jmol-1K-2, mJ/molK2, mJ/K.mol, MJ/GAT.K, J/mol.K2, gamma*Tc",Loading...,J/mol.K,specific heat jump at Tc (delta-C)
resn,1026,resistivity at normal-T for poly crystal,"uOhm.cm, mOhm.cm, uOhm.m, m.ohm.cm, mohm.cm, uOhmcm, uOh.cm, microohm, micro-ohm, ohm, nOhm.cm, Ohm.cm, ohm.cm, mohmcm, m-ohmcm, mOHM, ohmcm, mOHMcm",Float,Electronic,0.1% SI,"What is the SI unit for resistivity at normal-T for poly crystal? Equivalent units are: uOhm.cm, mOhm.cm, uOhm.m, m.ohm.cm, mohm.cm, uOhmcm, uOh.cm, microohm, micro-ohm, ohm, nOhm.cm, Ohm.cm, ohm.cm, mohmcm, m-ohmcm, mOHM, ohmcm, mOHMcm","The SI unit for resistivity is ohm-meter (Ω⋅m or ohm⋅m).

From your list of equivalent units, many are variations of the same unit with different prefixes or formatting. For polycrystalline materials at normal temperature, resistivity is commonly expressed in:

- μΩ⋅m (microohm-meter)
- μΩ⋅cm (microohm-centimeter)
- mΩ⋅cm (milliohm-centimeter)

However, the proper SI unit remains ohm-meter (Ω⋅m). The other units can be converted to this standard unit as needed.

Note that 1 μΩ⋅cm = 10⁻⁸ Ω⋅m and 1 mΩ⋅cm = 10⁻⁵ Ω⋅m.",ohm.m,resistivity at normal-T for poly crystal
moment,798,magnetic moment per formula,"uB/Ce, myu-B/Eu, myu-B/mole, My-B/Nb, M/mol, emu mol-1, /ND, myu-B/f.u, myu-B/mol, uB/Ru, uB/mol, myu-B/Ce, uB, myu-B/Pu, my-B/U, my-B/Np, Myu-B/mol, My-B/Eu, my-B/Eu, my-B/f.u, my-B, My-B/f.u, myuB/mol, uB/Ho, uB/Er, uB/Tm, my-B/mol, myu-B/Er, My-B/mol, per Ru, uB/Pu, myu-B/fu, myu-B/Tm, nyu-B/Pr, Myu-B/Pr, My-B/Ce, Myu-B, uB/Pr, myu-B/R, Myu-B/f.u, myu-B/Yb, Myu-B/Fe, myu-B/Fe, per mol, per R-ion, per f.u, per Gd, myu-B, myu-B/Co, /Sm, /Gd, micro.B/Mo, myuB/Tm, myu-B/Pr, per Ho, per Eu, uB/f.u, myu-B/Y, myu-B/Gd, myu-B/Nd, uB/Cu, Bohr magne, myuB/Np, myu-B/V, nyu-B/mol, Myu-B/f.u., mB/Pr, Myu-B/Mo, uB/Ir, myu-B/U, my-B/Cr, myu-B/Cr, /GD, /CELL, /PR ION, /PR, /Pr, m/Zn",Float,Electronic,0.1% SI,"What is the SI unit for magnetic moment per formula? Equivalent units are: uB/Ce, myu-B/Eu, myu-B/mole, My-B/Nb, M/mol, emu mol-1, /ND, myu-B/f.u, myu-B/mol, uB/Ru, uB/mol, myu-B/Ce, uB, myu-B/Pu, my-B/U, my-B/Np, Myu-B/mol, My-B/Eu, my-B/Eu, my-B/f.u, my-B, My-B/f.u, myuB/mol, uB/Ho, uB/Er, uB/Tm, my-B/mol, myu-B/Er, My-B/mol, per Ru, uB/Pu, myu-B/fu, myu-B/Tm, nyu-B/Pr, Myu-B/Pr, My-B/Ce, Myu-B, uB/Pr, myu-B/R, Myu-B/f.u, myu-B/Yb, Myu-B/Fe, myu-B/Fe, per mol, per R-ion, per f.u, per Gd, myu-B, myu-B/Co, /Sm, /Gd, micro.B/Mo, myuB/Tm, myu-B/Pr, per Ho, per Eu, uB/f.u, myu-B/Y, myu-B/Gd, myu-B/Nd, uB/Cu, Bohr magne, myuB/Np, myu-B/V, nyu-B/mol, Myu-B/f.u., mB/Pr, Myu-B/Mo, uB/Ir, myu-B/U, my-B/Cr, myu-B/Cr, /GD, /CELL, /PR ION, /PR, /Pr, m/Zn",Loading...,A.m^2/mol,magnetic moment per formula
str1,6781,"*crystal structure, symmetry",#N/A,Integer,Structural,exact_match,#N/A,,,"*crystal structure, symmetry ( 1=cubic,2=tetragonal,3=orthorhombic,4=monoclinic,5=triclinic,6=trigonal,7=hexagonal)"
vols,1038,volume fraction of Meissner effect(%),#N/A,Float,Electronic,0.1% SI,#N/A,,,"volume fraction of Meissner effect, unit=%"
kaizero,346,temperature independent term in susceptibility,"emu/mol-Yb, emu/mol, emu.K/Ru, emu/mol-La, eum/mol, emu/mole, cm3/mol, emu/g, emu/m.Oe, emu/mol-Si, emu/cm3.Oe, cm3/g, emu/mol Nd, cm3/mole, emu/mol.K, emu/g.Oe, emu/mol-Cr, myu-B/kOe, emu/mol-Ce, emu/mol.G, emu/fu, emu/Oe.g, cm3.K/mol",Double,Electronic,0.1% SI,"What is the SI unit for temperature independent term in susceptibility? Equivalent units are: emu/mol-Yb, emu/mol, emu.K/Ru, emu/mol-La, eum/mol, emu/mole, cm3/mol, emu/g, emu/m.Oe, emu/mol-Si, emu/cm3.Oe, cm3/g, emu/mol Nd, cm3/mole, emu/mol.K, emu/g.Oe, emu/mol-Cr, myu-B/kOe, emu/mol-Ce, emu/mol.G, emu/fu, emu/Oe.g, cm3.K/mol",Loading...,emu/mol,temperature independent term in susceptibility
curiec,214,Curie constant,"emu.K/mol, cm3/mol, muB/f.u., emu.K/Ru, emu/mol, emu.K/Yb, emu/mol.Oe, K, emu.K/g, emu/K/mol, EMU/mol, emh.K/mol, EMU.K/G.OE, EMU.K/G, emu/mol.K, emu.K/mole, K.cm3/mol, emu,K/mol, emu.K/G.g, emu.K/cc, emuK/g, ergK/Oe2g, emu/g, emu.K/g.Oe, comment, cm3K/mol, emu.K/Ce, emu/g.K, K/mol.G, emuK/mol, EMU/K.OE, EMU/G, EMU.K/MOLE, emu.K/Oe.g, cm3.K/mol",Double,Electronic,0.1% SI,"What is the SI unit for Curie constant? Equivalent units are: emu.K/mol, cm3/mol, muB/f.u., emu.K/Ru, emu/mol, emu.K/Yb, emu/mol.Oe, K, emu.K/g, emu/K/mol, EMU/mol, emh.K/mol, EMU.K/G.OE, EMU.K/G, emu/mol.K, emu.K/mole, K.cm3/mol, emu,K/mol, emu.K/G.g, emu.K/cc, emuK/g, ergK/Oe2g, emu/g, emu.K/g.Oe, comment, cm3K/mol, emu.K/Ce, emu/g.K, K/mol.G, emuK/mol, EMU/K.OE, EMU/G, EMU.K/MOLE, emu.K/Oe.g, cm3.K/mol",Loading...,K.m^3/mol,Curie constant
resrt,1651,resistivity at RT for poly crystal,"mOhm.cm, uOhm.m, m.ohm.cm, ohmcm, uOhm.cm, Ohm.cm, ohm.cm, uOhmcm, mOhm,cm, kOhm.cm, mic.ohm.cm, mic.ohm.m, mohmcm, mOhmcm, m-ohmcm, mOHM, uohmcm, mOrm.cm",Float,Electronic,0.1% SI,"What is the SI unit for resistivity at RT for poly crystal? Equivalent units are: mOhm.cm, uOhm.m, m.ohm.cm, ohmcm, uOhm.cm, Ohm.cm, ohm.cm, uOhmcm, mOhm,cm, kOhm.cm, mic.ohm.cm, mic.ohm.m, mohmcm, mOhmcm, m-ohmcm, mOHM, uohmcm, mOrm.cm","The SI unit for resistivity is ohm-meter (Ω⋅m).

Looking at your list of equivalent units, I can identify several variations that represent the same physical quantity using different prefixes or formatting:

- μΩ⋅m (micro-ohm meter) is 10^-6 Ω⋅m
- mΩ⋅cm (milliohm centimeter) is 10^-5 Ω⋅m
- μΩ⋅cm (micro-ohm centimeter) is 10^-8 Ω⋅m
- Ω⋅cm (ohm centimeter) is 10^-2 Ω⋅m
- kΩ⋅cm (kilo-ohm centimeter) is 10^1 Ω⋅m

For polycrystalline materials at room temperature (RT), resistivity is typically measured in either Ω⋅m (the SI unit) or μΩ⋅m, μΩ⋅cm, or mΩ⋅cm depending on the specific material's conductivity range.",ohm.m,resistivity at RT for poly crystal
tblno,543,international table number,#N/A,Integer,Structural,exact_match,#N/A,,,international table number
abresn,225,resistivity at normal-T for single crystal for J//ab-plane,"mOhm.cm, UOhm.cm, uOhm.cm, Ohm.cm, mOh..cm, ohm, mOhm,cm, m.ohm.cm, mohmmm, uohmcm, m-ohmcm, mohmcm, mOHM, ohmcm, 10-4ohmcm, microohmcm",Float,Electronic,0.1% SI,"What is the SI unit for resistivity at normal-T for single crystal for J//ab-plane? Equivalent units are: mOhm.cm, UOhm.cm, uOhm.cm, Ohm.cm, mOh..cm, ohm, mOhm,cm, m.ohm.cm, mohmmm, uohmcm, m-ohmcm, mohmcm, mOHM, ohmcm, 10-4ohmcm, microohmcm",Loading...,ohm.m,resistivity at normal-T for single crystal for J//ab plane
isotope,387,"alpha in Tc = A * M^(-alpha), isotope effect",#N/A,Float,Electronic,0.1% SI,#N/A,,,"alpha in Tc=A*M^(-alpha), isotope effect"
isoel,349,isotope element,#N/A,String,Chemical,pymatgen,#N/A,,,isotope element
method,7437,*preparation method,#N/A,Integer,Chemical,exact_match,#N/A,,,*preparation method (see the end of this table)
jche,47,"Jc at 4.2 K, H = 0 T",meV,Double,Electronic,0.1% SI,"What is the SI unit for Jc at 4.2 K, H = 0 T? Equivalent units are: meV",Loading...,ohm.m,"Jc at 4.2K, H=0 T"
subst,13,substrate,#N/A,String,Environmental,pymatgen,#N/A,,,substrate
ppenet,401,penetration depth at 0 K for single crystal for H //ab-plane,"A, nm, um, micron.m",Float,Electronic,0.1% SI,"What is the SI unit for penetration depth at 0 K for single crystal for H //ab-plane? Equivalent units are: A, nm, um, micron.m",Loading...,m,penetration depth at 0 K for single crystal for H //ab plane
phc2zero,377,Hc2 at 0 K for single crystal for H //ab-plane,"T, kOe, KOe, Oe, mT",Float,Electronic,0.1% SI,"What is the SI unit for Hc2 at 0 K for single crystal for H //ab-plane? Equivalent units are: T, kOe, KOe, Oe, mT","The SI unit for the upper critical magnetic field (Hc2) at 0 K for a single crystal with the field oriented parallel to the ab-plane would be tesla (T).

Among the units you listed:
- T (tesla) is the SI unit for magnetic field strength
- Oe (oersted), kOe (kiloersted), and KOe (also kiloersted) are CGS units
- mT (millitesla) is an SI-derived unit (1/1000 of a tesla)

The conversion between these units is:
1 T = 10,000 Oe = 10 kOe = 1,000 mT

So while Hc2 values might be reported in any of these units in the scientific literature, tesla (T) is the proper SI unit.",T,Hc2 at 0 K for single crystal for H //ab plane
nhc2zero,460,Hc2 at 0 K for single crystal for H //c-axis,"T, kOe, KOe, Oe, mT",Float,Electronic,0.1% SI,"What is the SI unit for Hc2 at 0 K for single crystal for H //c-axis? Equivalent units are: T, kOe, KOe, Oe, mT","The SI unit for the upper critical field Hc2 at 0 K for a single crystal with the magnetic field applied parallel to the c-axis (H//c-axis) would be tesla (T).

Of the options you've listed:
- T (tesla) is the SI unit for magnetic field
- kOe or KOe (kilooersted) is a non-SI unit (1 kOe = 0.1 T)
- Oe (oersted) is a non-SI unit (1 Oe = 0.0001 T)
- mT (millitesla) is an SI-derived unit (1 mT = 0.001 T)

So among these options, tesla (T) is the proper SI unit for the upper critical field measurement.",T,Hc2 at 0 K for single crystal for H //c-axis
target,25,target material,#N/A,String,Chemical,pymatgen,#N/A,,,target material
reshe,169,resistivity at 4.2 K for poly crystal,"mOhm.cm, uOhm.cm, Ohm.cm, moOhm.cm, uOhm.cn, mic.ohm.cm, m.ohm.cm, m-ohmcm, ohmcm, mohmcm",Float,Electronic,0.1% SI,"What is the SI unit for resistivity at 4.2 K for poly crystal? Equivalent units are: mOhm.cm, uOhm.cm, Ohm.cm, moOhm.cm, uOhm.cn, mic.ohm.cm, m.ohm.cm, m-ohmcm, ohmcm, mohmcm","The SI unit for resistivity is ohm-meter (Ω·m).

Among the options you've provided, none are precisely the SI unit. However, Ω·cm (ohm-centimeter) is commonly used in practice, especially when discussing materials at cryogenic temperatures like 4.2 K.

Converting between these units:
- 1 Ω·m = 100 Ω·cm
- 1 mΩ·cm = 10^-3 Ω·cm = 10^-5 Ω·m
- 1 μΩ·cm = 10^-6 Ω·cm = 10^-8 Ω·m

From your list, the closest to proper notation would be ""Ohm.cm"" (Ω·cm), though it's not the official SI unit.",ohm.m,resistivity at 4.2K for poly crystal
isorat,219,exchange ratio of isotope(%),#N/A,String,Chemical,0.1% SI,#N/A,,,exchange ratio of isotope(%)
dtc,189,DTC = Tc - Tc0 for isotope element,#N/A,Float,Electronic,0.1% SI,#N/A,,K,DTC=Tc-Tc0 for isotope element
abresrt,334,resistivity at RT for single crystal for J//ab-plane,"mOhm.cm, mOhm, uOh.cm, uOhm.cm, Ohm.cm, nOhm.cm, m.ohm.cm, mOhm,cm, mic.ohm.cm, ohm.cm, mohmmm, mOhmcm, m-ohmcm, mohmcm, mOHM, ohmcm, 10-4ohmcm, uohmcm, Ohmcm",Float,,0.1% SI,"What is the SI unit for resistivity at RT for single crystal for J//ab-plane? Equivalent units are: mOhm.cm, mOhm, uOh.cm, uOhm.cm, Ohm.cm, nOhm.cm, m.ohm.cm, mOhm,cm, mic.ohm.cm, ohm.cm, mohmmm, mOhmcm, m-ohmcm, mohmcm, mOHM, ohmcm, 10-4ohmcm, uohmcm, Ohmcm",Loading...,,resistivity at RT for single crystal for J//ab plane
tp300p,13,thermopower at 300 K for parallel to ab-plane,"uV/K, microW/mK2",Float,Electronic,0.1% SI,"What is the SI unit for thermopower at 300 K for parallel to ab-plane? Equivalent units are: uV/K, microW/mK2",Loading...,ohm.m,thermopower at 300K for parallel to ab-plane
dadp,23,pressure dependence of LATA,"k0/GPa, (GPa)^(-1), E-3 /GPa, A/GPa, /GPa, %/GPa, (dL/L)/GPa",Float,Electronic,0.1% SI,"What is the SI unit for pressure dependence of LATA? Equivalent units are: k0/GPa, (GPa)^(-1), E-3 /GPa, A/GPa, /GPa, %/GPa, (dL/L)/GPa",Loading...,V/K,pressure dependence of LATA
