property_name,count,category,dataset
density of states at Fermi level,1.0,Electronic,CDW
mobility change,1.0,Electronic,CDW
ARPES peak intensity,1.0,Methods,CDW
phonon soft mode frequency,1.0,Electronic,CDW
phonon softening amplitude,1.0,Electronic,CDW
temperature dependence of phonon frequency,1.0,Electronic,CDW
Raman mode frequency,1.0,Methods,CDW
Raman intensity anomaly,1.0,Methods,CDW
IR absorption frequency,1.0,Methods,CDW
IR mode intensity,1.0,Methods,CDW
phonon gap opening,1.0,Electronic,CDW
resistivity,1.0,Electronic,CDW
dœÅ/dT slope,1.0,Electronic,CDW
Hall coefficient,1.0,Electronic,CDW
magnetoresistance,1.0,Electronic,CDW
Seebeck coefficient,1.0,Electronic,CDW
thermal conductivity,1.0,Electronic,CDW
activation energy,1.0,Electronic,CDW
magnetic susceptibility,1.0,Electronic,CDW
magnetization,1.0,Electronic,CDW
field-induced CDW changes,1.0,Electronic,CDW
magnetic field for CDW melting,1.0,Environmental,CDW
spin-related anomalies,1.0,Electronic,CDW
Adsorption Kinetics,22.0,"Interfacial, Surface",Biosurfactants
Biodegradability Rate,19.0,"Biological, Kinetic",Biosurfactants
Catalytic Activity (k_cat),27.0,"Biological, Kinetic",Biosurfactants
Chelation Constant (pK / Kf),25.0,"Soil Handling, Electrostatic",Biosurfactants
Cloud Point,14.0,"Physiochemical, Phase",Biosurfactants
Critical Micelle Concentration (CMC),31.0,"Interfacial, Surface",Biosurfactants
Dissolution Time,5.0,"Rheological, Physical",Biosurfactants
Dynamic Viscosity (η),30.0,"Rheological, Physical",Biosurfactants
Emulsification Index (E24),8.0,"Soil Handling, Electrostatic",Biosurfactants
Foam Height,4.0,"Rheological, Physical",Biosurfactants
HLB (Hydrophilic-Lipophilic Balance),1.0,"Physiochemical, Phase",Biosurfactants
Interfacial Tension (IFT),35.0,"Interfacial, Surface",Biosurfactants
Particulate Dispersion,34.0,"Soil Handling, Electrostatic",Biosurfactants
Pour Point,2.0,"Rheological, Physical",Biosurfactants
Surface Tension (γ),9.0,"Interfacial, Surface",Biosurfactants
Zeta Potential (ζ),20.0,"Soil Handling, Electrostatic",Biosurfactants
