paper,material,property_name,property_value,property_unit,definition
Paper_3,Mo2C,common formula of materials,22.0 ± 0.4,nm,"ARTICLES PUBLISHED ONLINE: 17 AUGUST 2015 | DOI: 10.1038/NMAT4374 Large-area high-quality 2D ultrathin Mo2C superconducting crystals Chuan Xu1†, Libin Wang2†, Zhibo Liu1, Long Chen1, Jingkun Guo2, Ning Kang2*, Xiu-Liang Ma1, From the fitting of Hc2,⊥(T) data, we can estimate the corresponding coherence length ξGL(0)≈22.0±0.4 nm. The temperature dependence for the parallel field direction follows the behaviour expected for a 2D superconducting film Hc2,∥(T)= Φ0 √ 12 2πξGL(0)dSC  1−T Tc −1/2 where dSC is the superconducting thickness."
Paper_3,CH4,common formula of materials,0.35,sccm,"ARTICLES PUBLISHED ONLINE: 17 AUGUST 2015 | DOI: 10.1038/NMAT4374 Large-area high-quality 2D ultrathin Mo2C superconducting crystals Chuan Xu1†, Libin Wang2†, Zhibo Liu1, Long Chen1, Jingkun Guo2, Ning Kang2*, Xiu-Liang Ma1, Subsequently, the Cu/Mo bilayer substrates were heated above 1,085 ◦C in a horizontal tube furnace (Lindberg Blue M, TF55030C) under H2 (200 sccm). A small amount of CH4 (0.35 sccm) was then introduced into the reaction tube at ambient pressure to initiate the growth of 2D α-Mo2C crystals."
Paper_3,(NH4)2S2O8,common formula of materials,0.2,M,"ARTICLES PUBLISHED ONLINE: 17 AUGUST 2015 | DOI: 10.1038/NMAT4374 Large-area high-quality 2D ultrathin Mo2C superconducting crystals Chuan Xu1†, Libin Wang2†, Zhibo Liu1, Long Chen1, Jingkun Guo2, Ning Kang2*, Xiu-Liang Ma1, for 1 min and cured at 180 ◦C for 30 min; the PMMA-coated samples were then immersed in a 0.2 M (NH4)2S2O8 solution at 70 ◦C for 10 min to etch the Cu substrate. After that, the PMMA-coated ultrathin α-Mo2C crystals were stamped onto target substrates, such as SiO2/Si and TEM grids, and warm acetone (55 ◦C) was used to dissolve the PMMA layer and obtain clean ultrathin α-Mo2C crystals."
Paper_5,La2O3,common formula of materials,99.99,%,"PHYSICAL REVIEW B VOLUME 52, NUMBER 9 1 SEPTEMBER 1995-I Oxygen isotope effect on the effective mass of carriers from magnetic measurements Here we report the detailed results of oxygen isotope effects on T, and Meissner fraction f for the fine-grained and decoupled La& „Sr Cu04 with x =0.105, 0.110, and 0.115. Samples of La2 Sr Cu04 with x =0.100, 0.105, 0.110, 0.115, and 0.120 were prepared by conventional solid-state reaction using La203 (99.99%), SrC03 (99.999%), and CuO (99.999%)."
Paper_5,SrCO3,common formula of materials,99.999,%,"PHYSICAL REVIEW B VOLUME 52, NUMBER 9 1 SEPTEMBER 1995-I Oxygen isotope effect on the effective mass of carriers from magnetic measurements Here we report the detailed results of oxygen isotope effects on T, and Meissner fraction f for the fine-grained and decoupled La& „Sr Cu04 with x =0.105, 0.110, and 0.115. Samples of La2 Sr Cu04 with x =0.100, 0.105, 0.110, 0.115, and 0.120 were prepared by conventional solid-state reaction using La203 (99.99%), SrC03 (99.999%), and CuO (99.999%)."
Paper_5,CuO,common formula of materials,99.999,%,"PHYSICAL REVIEW B VOLUME 52, NUMBER 9 1 SEPTEMBER 1995-I Oxygen isotope effect on the effective mass of carriers from magnetic measurements Here we report the detailed results of oxygen isotope effects on T, and Meissner fraction f for the fine-grained and decoupled La& „Sr Cu04 with x =0.105, 0.110, and 0.115. Samples of La2 Sr Cu04 with x =0.100, 0.105, 0.110, 0.115, and 0.120 were prepared by conventional solid-state reaction using La203 (99.99%), SrC03 (99.999%), and CuO (99.999%)."
Paper_8,Re24Ti5,common formula of materials,111.8,mJ mol−1 K−2,"Superconductor Science and Technology PAPER Such a ﬁt yields γ = 111.8 mJ mol−1 K−2, β = 1.47 mJ mol−1 K−4, and δ = 0.0049 mJ mol−1 K−6 for Re24Ti5. Furthermore, the Debye temperature θD of 428 K can be evaluated from β using the relation θD = (12π4RZ/5β)1/3, where R = Figure 7."
Paper_8,Re23.8Nb5.2,common formula of materials,0.24,µΩ cm mol^2 K^2 mJ^−2,"Superconductor Science and Technology PAPER The argument for the weak electronic correlation is mainly based on the small Kadowaki–Woods ratio A/γ 2. Karki and coworkers have reported a small value of A/γ 2 = 0.24a0, where a0 = 10−5 µ cm mol2 K2 mJ−2 for Re23.8Nb5.2 [9]."
Paper_8,Re24Ti5,common formula of materials,0.17a0,a0 = 10⁻⁵ µΩ cm mol² K² mJ⁻²,"Superconductor Science and Technology PAPER Karki and coworkers have reported a small value of A/γ 2 = 0.24a0, where a0 = 10−5 µ cm mol2 K2 mJ−2 for Re23.8Nb5.2 [9]. Taking A = 0.022 µ cm K−2 and γ = 111.8 mJ mol−1 K−2, we found A/γ 2 = 0.17a0 for Re24Ti5, lower than those in typical electronic correlated systems which usually have a magnitude of a0 for A/γ 2."
Paper_1,Ru7B3,shape,a = 7.441,Å,"Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 Results and Discussion 3.1 Crystal structure The powder X-ray diﬀraction patterns for both polycrys- talline and single crystal samples could be indexed as a Ru7B3 phase with the space group of P63mc. The lattice constants of the single crystal Ru7B3 were determined to be approximately a ¼ 7:441ð5Þ A˚ and c ¼ 4:700ð4Þ A˚ , respec- tively."
Paper_1,Ru7B3,shape,0.1,K,"Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 3.3 Electrical resistivity Figure 4 shows electrical resistivity as a function of temperature between 2.0 and 300 K. The onset and zero- resistivity temperatures were observed to be 2.95 and 2.8 K, respectively. Transition width can be deﬁned as the temper- ature interval between 10 and 90% of the transition and is estimated to be approximately 0.1 K. The sharp super- conducting transition indicates the high purity of the sample."
Paper_1,Ru7B3,shape,0.38,meV,"Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 The solid curve represents the ﬁtting result obtained using the speciﬁc heat expression for a conventional supercon- ductor (Ce  exp½ð0Þ=kBT, where ð0Þ is the energy gap) below 0:8Tc, where ðTÞ substantially deviates from ð0Þ. From the exponential dependence curve, the superconducting energy gap at a zero temperature ð0Þ can be estimated to be 0.38 meV."
Paper_10,Sr0.4Ca13.6Cu24O41,shape,12.15,Å,"High-pressure synchrotron-diffraction study of the superconducting spin-ladder compounds „Sr, M…14Cu24O41 „M5Ca, Ba, Nd… Ste´phanie Pachot and Pierre Bordet Laboratoire de Cristallographie CNRS, Boıˆte Postale 166, 38042 Grenoble Cedex 9, France Robert J. Cava The effect of applied pressure and lattice anomaly on the physical and superconducting properties of the (Sr142x ,M x)Cu24O41 compounds may be discussed on the basis of the present results and already reported structural and physical measurements.5–7 The main effect of the sub- stitution of Ca for Sr and of applied pressure is a strong decrease of the b cell parameter, which corresponds to an increased coupling between the ladder and chain layers, and to a charge transfer from the chains to the ladders. However, the substitution effect alone is not sufﬁcient to induce superconductivity at low temperature, and an additional external pressure has to be applied, with appearance of the superconducting state at '3 GPa for the ~Sr0.4 , Ca13.6!Cu24O41 compound, which corre- sponds to a cell parameter b'12.15 Å."
Paper_11,LaRu2P2,shape,2,dimensional,"Superconductor Science and Technology Isotropic superconductivity in LaRu2P2 with the Ruthenium phosphide LaRu2P2 was found to be superconducting at about 4 K more than 20 years ago [8]. Similar to the cuprates, both the iron-based superconductors and LaRu2P2 have a two-dimensional crystal structure."
Paper_11,LaRu2P2,shape,1.067,nm,"Superconductor Science and Technology Isotropic superconductivity in LaRu2P2 with the As shown in the lower inset of ﬁgure 1 only (00l) diffraction peaks were observed, suggesting that the crystallographic c axis is perpendicular to the plane of the single crystal. The lattice constant of the c axis was determined to be 1.067 nm."
Paper_11,LaRu2P2,shape,0.57 × 0.55 × 0.023,mm3,Superconductor Science and Technology Isotropic superconductivity in LaRu2P2 with the The inset of (a) shows the zero-ﬁeld-cooled and ﬁeld-cooled susceptibility taken at 10 Oe. The dimension of the single crystal we used in the magnetic property measurement is 0.57 × 0.55 × 0.023 mm3.
Paper_11,LaRu2P2,shape,54,nm,"Superconductor Science and Technology Isotropic superconductivity in LaRu2P2 with the The magnitude of the upper and lower critical ﬁelds was estimated to be about 1140 and 230 Oe at zero temperature, which is of the same order of magnitude as the other conventional ThCr2Si2-type superconductors. The coherent length and penetration depth are about 54 nm and 80 nm, respectively."
Paper_15,LSCO,shape,2.5 0.5 0.15,mm3,"Thermal conductivity of lightly Sr- and Zn-doped La2CuO4 single crystals X. F. Sun,* J. Takeya, Seiki Komiya, and Yoichi Ando† Central Research Institute of Electric Power Industry, Komae, Tokyo 201-8511, Japan ~Received 20 May 2002; revised manuscript received 11 September 2002; published 4 March 2003! Both ab-plane and c-axis thermal conductivities (kab and kc) of lightly doped La22xSrxCuO4 ~LSCO! and 0163-1829/2003/67~10!/104503~6!/$20.00 ©2003 The American Physical Society 67 104503-1 phonon transport signiﬁcantly, while their role is minor in the in-plane phonon transport. EXPERIMENTS The single crystals of LSCO and LCZO are grown by the traveling-solvent ﬂoating-zone technique, and carefully an- nealed in ﬂowing pure He gas to remove the excess oxygen.20 After the crystallographic axes are determined by using an x-ray Laue analysis, the crystals are cut into rectan- gular thin platelets with the typical sizes of 2.530.5 30.15 mm3, where the c axis is perpendicular or parallel to the platelet with an accuracy of 1°."
Paper_15,La2CuO4,shape,27,W/Km,"Thermal conductivity of lightly Sr- and Zn-doped La2CuO4 single crystals X. F. Sun,* J. Takeya, Seiki Komiya, and Yoichi Ando† Central Research Institute of Electric Power Industry, Komae, Tokyo 201-8511, Japan ~Received 20 May 2002; revised manuscript received 11 September 2002; published 4 March 2003! Both ab-plane and c-axis thermal conductivities (kab and kc) of lightly doped La22xSrxCuO4 ~LSCO! and The heat conduction due to magnetic excitations has been observed in many low-dimensional quantum anti- ferromagnets, such as one-dimensional spin systems CuGeO3,21,23,25 Sr2CuO3,26 SrCuO2,27 and (Sr,Ca)14Cu24O41 ,28 and also the two-dimensional antiferro- magnet K2V3O8.29 The absence of this high-T peak in kc(T) is obviously due to the much weaker magnetic correlations in the c direction compared to that in the CuO2 plane. All these behaviors in undoped La2CuO4 are consistent with the pre- viously reported data.18 It is worthwhile to note that the phononic peak value of kc ~27 W/Km!"
Paper_3,2D TMC sheets,shape,10,µm,"ARTICLES PUBLISHED ONLINE: 17 AUGUST 2015 | DOI: 10.1038/NMAT4374 Large-area high-quality 2D ultrathin Mo2C superconducting crystals Chuan Xu1†, Libin Wang2†, Zhibo Liu1, Long Chen1, Jingkun Guo2, Ning Kang2*, Xiu-Liang Ma1, They have been theoretically predicted or experimentally demonstrated to have many interesting properties, such as highly eﬃcient thermoelectric conversion and electrochemical energy storage8–10. Nevertheless, such chemically derived functionalized 2D TMC sheets are very small, with lateral sizes ranging from hundreds of nanometres to ∼10 µm, suﬀer from severe structural defects, are terminated by hydroxyl and/or other oxygen-containing groups, and have fluorine present on their surface8–12."
Paper_3,α-Mo2C,shape,10,µm,"ARTICLES PUBLISHED ONLINE: 17 AUGUST 2015 | DOI: 10.1038/NMAT4374 Large-area high-quality 2D ultrathin Mo2C superconducting crystals Chuan Xu1†, Libin Wang2†, Zhibo Liu1, Long Chen1, Jingkun Guo2, Ning Kang2*, Xiu-Liang Ma1, Their nucleation density increases with growth temperature, and their lateral size increases with growth time (Supplementary Figs 3 and 4). We have fabricated ∼10 µm-sized ultrathin α-Mo2C crystals with a uniform thickness of ∼3 nm in a growth time of 3 min at a temperature of 1,092 ◦C (Supplementary Fig."
Paper_3,α-Mo2C,shape,2,µm,"ARTICLES PUBLISHED ONLINE: 17 AUGUST 2015 | DOI: 10.1038/NMAT4374 Large-area high-quality 2D ultrathin Mo2C superconducting crystals Chuan Xu1†, Libin Wang2†, Zhibo Liu1, Long Chen1, Jingkun Guo2, Ning Kang2*, Xiu-Liang Ma1, 11) and convergent beam ED 1136 NATURE MATERIALS | VOL 14 | NOVEMBER 2015 | www.nature.com/naturematerials © 2015 Macmillan Publishers Limited. All rights reserved NATURE MATERIALS DOI: 10.1038/NMAT4374 ARTICLES 10 nm−1 40.83 nm−1 002 040 [100] a c e f b g h d 2 µm 2 nm 1 nm 2 nm Figure 2 | Characterization of 2D ultrathin α-Mo2C crystals."
Paper_3,Mo2C,shape,22.0,nm,"ARTICLES PUBLISHED ONLINE: 17 AUGUST 2015 | DOI: 10.1038/NMAT4374 Large-area high-quality 2D ultrathin Mo2C superconducting crystals Chuan Xu1†, Libin Wang2†, Zhibo Liu1, Long Chen1, Jingkun Guo2, Ning Kang2*, Xiu-Liang Ma1, As for the perpendicular case, Hc2,⊥shows a linear behaviour close to Tc, which is consistent with the standard linearized Ginzburg–Landau (GL) theory for superconductors17 Hc2,⊥(T)= Φ0 2πξGL(0)2  1−T Tc  where ξGL(0) is the zero-temperature GL in-plane coherence length and Φ0 is the magnetic flux quantum. From the fitting of Hc2,⊥(T) data, we can estimate the corresponding coherence length ξGL(0)≈22.0±0.4 nm."
Paper_3,Cu foil,shape,5×5,mm2,"ARTICLES PUBLISHED ONLINE: 17 AUGUST 2015 | DOI: 10.1038/NMAT4374 Large-area high-quality 2D ultrathin Mo2C superconducting crystals Chuan Xu1†, Libin Wang2†, Zhibo Liu1, Long Chen1, Jingkun Guo2, Ning Kang2*, Xiu-Liang Ma1, All rights reserved ARTICLES NATURE MATERIALS DOI: 10.1038/NMAT4374 Methods CVD growth and transfer of ultrathin α-Mo2C crystals. A Cu foil (Alfa Aesar, 99.5% purity, 10 µm thick) was cut into 5×5 mm2 pieces and placed on top of a Mo foil (Alfa Aesar, 99.95% purity, 100 µm thick) of the same size."
Paper_3,Cu foil,shape,5×5,mm²,"ARTICLES PUBLISHED ONLINE: 17 AUGUST 2015 | DOI: 10.1038/NMAT4374 Large-area high-quality 2D ultrathin Mo2C superconducting crystals Chuan Xu1†, Libin Wang2†, Zhibo Liu1, Long Chen1, Jingkun Guo2, Ning Kang2*, Xiu-Liang Ma1, A Cu foil (Alfa Aesar, 99.5% purity, 10 µm thick) was cut into 5×5 mm2 pieces and placed on top of a Mo foil (Alfa Aesar, 99.95% purity, 100 µm thick) of the same size. They were then placed in a quartz tube of outer diameter 25 mm and inner diameter 22 mm to act as the growth substrates for ultrathin α-Mo2C crystals."
Paper_5,La2O3,shape,6,mm diam,"PHYSICAL REVIEW B VOLUME 52, NUMBER 9 1 SEPTEMBER 1995-I Oxygen isotope effect on the effective mass of carriers from magnetic measurements The La203 was dried for 6 h at 900'C prior to weighing. The powders were mixed and ground thoroughly under isopropyl alcohol, and then were pressed into pellets of 6 mm diam with -2 ton/cm pressure."
Paper_6,tungsten carbide,shape,434,mm2,"Structural and electrical properties under high pressure for the superconducting spin-ladder system Sr0.4Ca13.6Cu24O411d M. Isobe, T. Ohta, M. Onoda, F. Izumi, S. Nakano, J. Q. Li,* Y. Matsui, and E. Takayama-Muromachi National Institute for Research in Inorganic Materials (NIRIM), 1-1 Namiki, Tsukuba, Ibaraki 305 Japan T. Matsumoto Pressure was measured on several points in the sample space by the ruby ﬂuorescence method based on previous scale data.42 From the Debye-Scherrer pattern on the IP, an usual 2u pat- tern was obtained by integrating the raw intensity data along the Debye-Scherrer ring. equipped with six tungsten car- bide anvil tops having a square face of 434 mm2."
Paper_6,Sr0.4Ca13.6Cu24O41,shape,1.55 3 0.50 3 0.45,mm3,"Structural and electrical properties under high pressure for the superconducting spin-ladder system Sr0.4Ca13.6Cu24O411d M. Isobe, T. Ohta, M. Onoda, F. Izumi, S. Nakano, J. Q. Li,* Y. Matsui, and E. Takayama-Muromachi National Institute for Research in Inorganic Materials (NIRIM), 1-1 Namiki, Tsukuba, Ibaraki 305 Japan T. Matsumoto The energy- dispersive data were numerically converted to angle disper- sive ones corresponding to the Cu Ka radiation.44 Electrical resistivity under high pressure and low tem- perature was measured by the standard four-probe dc method using the CAHP. A 1.5530.5030.45 mm3 bulk sample was placed in a teﬂon cell with the ﬂuid pressure-transmitting medium, a mixture of Fluorinate FC70 and FC77."
Paper_6,Tungsten carbide anvil,shape,636,mm²,"Structural and electrical properties under high pressure for the superconducting spin-ladder system Sr0.4Ca13.6Cu24O411d M. Isobe, T. Ohta, M. Onoda, F. Izumi, S. Nakano, J. Q. Li,* Y. Matsui, and E. Takayama-Muromachi National Institute for Research in Inorganic Materials (NIRIM), 1-1 Namiki, Tsukuba, Ibaraki 305 Japan T. Matsumoto A 1.5530.5030.45 mm3 bulk sample was placed in a teﬂon cell with the ﬂuid pressure-transmitting medium, a mixture of Fluorinate FC70 and FC77. The tungsten carbide anvil tops with a square face of 636 mm2 were used instead of the 4 34 mm2 ones."
Paper_6,Sr0.4Ca13.6Cu24O41,shape,2.5,Å,"Structural and electrical properties under high pressure for the superconducting spin-ladder system Sr0.4Ca13.6Cu24O411d M. Isobe, T. Ohta, M. Onoda, F. Izumi, S. Nakano, J. Q. Li,* Y. Matsui, and E. Takayama-Muromachi National Institute for Research in Inorganic Materials (NIRIM), 1-1 Namiki, Tsukuba, Ibaraki 305 Japan T. Matsumoto Under high pressure, the interaction between the ladder and the 1D chain should be more pronounced because of the large shrinkage along the b axis. At P55 GPa, for instance, the Culadder-Oapical bondlength is roughly calculated as ;2.5 Å according to the present compressibility data."
Paper_8,Re24Ti5,shape,0.022,µΩ cm K−2,"Superconductor Science and Technology PAPER Electrical resistivity as a function of temperature for Re24Ti5. Inset: a plot of ρ versus T2, showing a linear relation between 6.5 and 14 K. yielding ρo = 214.8 µ cm and A = 0.022 µ cm K−2."
Paper_8,Re23.8Nb5.2,shape,0.24,a0 (10⁻⁵ µΩ cm mol² K² mJ⁻²),"Superconductor Science and Technology PAPER Karki and coworkers have reported a small value of A/γ 2 = 0.24a0, where a0 = 10−5 µ cm mol2 K2 mJ−2 for Re23.8Nb5.2 [9]. Taking A = 0.022 µ cm K−2 and γ = 111.8 mJ mol−1 K−2, we found A/γ 2 = 0.17a0 for Re24Ti5, lower than those in typical electronic correlated systems which usually have a magnitude of a0 for A/γ 2."
Paper_8,Re24Ti5,shape,0.17,a0 (10⁻⁵ µΩ cm mol² K² mJ⁻²),"Superconductor Science and Technology PAPER Karki and coworkers have reported a small value of A/γ 2 = 0.24a0, where a0 = 10−5 µ cm mol2 K2 mJ−2 for Re23.8Nb5.2 [9]. Taking A = 0.022 µ cm K−2 and γ = 111.8 mJ mol−1 K−2, we found A/γ 2 = 0.17a0 for Re24Ti5, lower than those in typical electronic correlated systems which usually have a magnitude of a0 for A/γ 2."
Paper_1,Li2Pd3B,common name of structure,20–50,meV,"Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 The anti-SOC eﬀect of a 4d electron (Li2Pd3B) is much smaller than that of a 5d electron (Li2Pt3B). The energy splitting values of the bands at the Fermi surface are 200 meV (Li2Pt3B) and 20–50 meV (Li2Pd3B).36) The result indicates that small-band splitting has no eﬀect on the superconducting state."
Paper_3,α-Mo2C,common name of structure,10–20,µm,"ARTICLES PUBLISHED ONLINE: 17 AUGUST 2015 | DOI: 10.1038/NMAT4374 Large-area high-quality 2D ultrathin Mo2C superconducting crystals Chuan Xu1†, Libin Wang2†, Zhibo Liu1, Long Chen1, Jingkun Guo2, Ning Kang2*, Xiu-Liang Ma1, The ultrathin α-Mo2C crystals used here were 10–20 µm in lateral size. Individual samples on 290-nm-thick SiO2/Si substrates were first located using a scanning electron microscope, then electrodes consisting of Ti/Au (5/90 nm) were formed directly on the top surface by electron-beam lithography, followed by electron-beam evaporation."
Paper_3,SiO2/Si,common name of structure,290,nm,"ARTICLES PUBLISHED ONLINE: 17 AUGUST 2015 | DOI: 10.1038/NMAT4374 Large-area high-quality 2D ultrathin Mo2C superconducting crystals Chuan Xu1†, Libin Wang2†, Zhibo Liu1, Long Chen1, Jingkun Guo2, Ning Kang2*, Xiu-Liang Ma1, The ultrathin α-Mo2C crystals used here were 10–20 µm in lateral size. Individual samples on 290-nm-thick SiO2/Si substrates were first located using a scanning electron microscope, then electrodes consisting of Ti/Au (5/90 nm) were formed directly on the top surface by electron-beam lithography, followed by electron-beam evaporation."
Paper_8,Re23.8Nb5.2,common name of structure,0.24,a0 (a0 = 10−5 µΩ cm mol² K² mJ⁻²),"Superconductor Science and Technology PAPER Karki and coworkers have reported a small value of A/γ 2 = 0.24a0, where a0 = 10−5 µ cm mol2 K2 mJ−2 for Re23.8Nb5.2 [9]. Taking A = 0.022 µ cm K−2 and γ = 111.8 mJ mol−1 K−2, we found A/γ 2 = 0.17a0 for Re24Ti5, lower than those in typical electronic correlated systems which usually have a magnitude of a0 for A/γ 2."
Paper_8,Re24Ti5,common name of structure,0.17,a0 (a0 = 10−5 µΩ cm mol² K² mJ⁻²),"Superconductor Science and Technology PAPER Karki and coworkers have reported a small value of A/γ 2 = 0.24a0, where a0 = 10−5 µ cm mol2 K2 mJ−2 for Re23.8Nb5.2 [9]. Taking A = 0.022 µ cm K−2 and γ = 111.8 mJ mol−1 K−2, we found A/γ 2 = 0.17a0 for Re24Ti5, lower than those in typical electronic correlated systems which usually have a magnitude of a0 for A/γ 2."
Paper_1,Ru7B3,lattice constant a,7.441,Å,"Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 Results and Discussion 3.1 Crystal structure The powder X-ray diﬀraction patterns for both polycrys- talline and single crystal samples could be indexed as a Ru7B3 phase with the space group of P63mc. The lattice constants of the single crystal Ru7B3 were determined to be approximately a ¼ 7:441ð5Þ A˚ and c ¼ 4:700ð4Þ A˚ , respec- tively."
Paper_1,Ru7B3,lattice constant a,7.467,Å,"Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 The results are slightly narrower than those of polycrystalline sample (Tc ¼ 3:3 K). The reported parame- ters of polycrystalline sample are a ¼ 7:467 A˚ and c ¼ 4:713 A˚ , respectively,12) which are in good agreement with Journal of the Physical Society of Japan Vol."
