sentence,passage,doi
The space group of T7B3 (P63mc) belongs to the non-centrosymmetric crystal symmetry.,"Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 T7B3 (T: transition metal) can be one of the potential systems for investigating the eﬀect of non-centrosymmetry in a structure with 4d and 5d elements. The space group of T7B3 (P63mc) belongs to the non-centrosymmetric crystal symmetry.",Paper_1
"Ru7B3 was reported as a superconductor with Tc ¼ 2:58{3:38 K using a polycrystalline sample,10,11) de- spite the lack of report on its superconducting state.","Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 The space group of T7B3 (P63mc) belongs to the non-centrosymmetric crystal symmetry. Ru7B3 was reported as a superconductor with Tc ¼ 2:58{3:38 K using a polycrystalline sample,10,11) de- spite the lack of report on its superconducting state.",Paper_1
"To investigate the superconducting state more precisely, we have succeeded in growing single crystals of Ru7B3 using the Czochralski pulling method.","Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 Ru7B3 was reported as a superconductor with Tc ¼ 2:58{3:38 K using a polycrystalline sample,10,11) de- spite the lack of report on its superconducting state. To investigate the superconducting state more precisely, we have succeeded in growing single crystals of Ru7B3 using the Czochralski pulling method.",Paper_1
"In this report, we reveal their superconducting and normal state properties on a pure single crystal of Ru7B3.","Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 To investigate the superconducting state more precisely, we have succeeded in growing single crystals of Ru7B3 using the Czochralski pulling method. In this report, we reveal their superconducting and normal state properties on a pure single crystal of Ru7B3.",Paper_1
"The polycrystal ingots were prepared by an arc-melting method with a ﬁne Ru powder (99.9%) and an amorphous B powder (99.5%) with a nominal Ru/B ratio of 2.0, including an excess B powder in consideration of the low boron vapor pressure.","Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 In this report, we reveal their superconducting and normal state properties on a pure single crystal of Ru7B3. The polycrystal ingots were prepared by an arc-melting method with a ﬁne Ru powder (99.9%) and an amorphous B powder (99.5%) with a nominal Ru/B ratio of 2.0, including an excess B powder in consideration of the low boron vapor pressure.",Paper_1
The single crystals were grown by the Czochralski pulling method using the tetra-arc furnace in Ar atmosphere and growth rate was set to 10 mm/h.,"Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 The polycrystal ingots were prepared by an arc-melting method with a ﬁne Ru powder (99.9%) and an amorphous B powder (99.5%) with a nominal Ru/B ratio of 2.0, including an excess B powder in consideration of the low boron vapor pressure. The single crystals were grown by the Czochralski pulling method using the tetra-arc furnace in Ar atmosphere and growth rate was set to 10 mm/h.",Paper_1
Magnetic susceptibility and magnetization measurements were performed using a SQUID magnetom- eter (Quantum Design MPMSR2) in a temperature range of 1.8–4.0 K under various applied magnetic ﬁelds.,"Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 The single crystals were grown by the Czochralski pulling method using the tetra-arc furnace in Ar atmosphere and growth rate was set to 10 mm/h. Magnetic susceptibility and magnetization measurements were performed using a SQUID magnetom- eter (Quantum Design MPMSR2) in a temperature range of 1.8–4.0 K under various applied magnetic ﬁelds.",Paper_1
Electrical resistivity was measured by a conventional DC four-probe method in a temperature range of 2.0–300 K under zero and various applied magnetic ﬁelds.,"Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 Magnetic susceptibility and magnetization measurements were performed using a SQUID magnetom- eter (Quantum Design MPMSR2) in a temperature range of 1.8–4.0 K under various applied magnetic ﬁelds. Electrical resistivity was measured by a conventional DC four-probe method in a temperature range of 2.0–300 K under zero and various applied magnetic ﬁelds.",Paper_1
The Speciﬁc heat measurements were performed with a PPMS system (Quantum Design) equipped with a 3He refrigerator in a temperature range of 0.5–4.0 K under zero and various magnetic ﬁelds.,"Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 Electrical resistivity was measured by a conventional DC four-probe method in a temperature range of 2.0–300 K under zero and various applied magnetic ﬁelds. The Speciﬁc heat measurements were performed with a PPMS system (Quantum Design) equipped with a 3He refrigerator in a temperature range of 0.5–4.0 K under zero and various magnetic ﬁelds.",Paper_1
Results and Discussion 3.1 Crystal structure The powder X-ray diﬀraction patterns for both polycrys- talline and single crystal samples could be indexed as a Ru7B3 phase with the space group of P63mc.,"Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 The Speciﬁc heat measurements were performed with a PPMS system (Quantum Design) equipped with a 3He refrigerator in a temperature range of 0.5–4.0 K under zero and various magnetic ﬁelds. Results and Discussion 3.1 Crystal structure The powder X-ray diﬀraction patterns for both polycrys- talline and single crystal samples could be indexed as a Ru7B3 phase with the space group of P63mc.",Paper_1
"The lattice constants of the single crystal Ru7B3 were determined to be approximately a ¼ 7:441ð5Þ A˚ and c ¼ 4:700ð4Þ A˚ , respec- tively.","Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 Results and Discussion 3.1 Crystal structure The powder X-ray diﬀraction patterns for both polycrys- talline and single crystal samples could be indexed as a Ru7B3 phase with the space group of P63mc. The lattice constants of the single crystal Ru7B3 were determined to be approximately a ¼ 7:441ð5Þ A˚ and c ¼ 4:700ð4Þ A˚ , respec- tively.",Paper_1
The results are slightly narrower than those of polycrystalline sample (Tc ¼ 3:3 K).,"Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 The lattice constants of the single crystal Ru7B3 were determined to be approximately a ¼ 7:441ð5Þ A˚ and c ¼ 4:700ð4Þ A˚ , respec- tively. The results are slightly narrower than those of polycrystalline sample (Tc ¼ 3:3 K).",Paper_1
"The reported parame- ters of polycrystalline sample are a ¼ 7:467 A˚ and c ¼ 4:713 A˚ , respectively,12) which are in good agreement with Journal of the Physical Society of Japan Vol.","Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 The results are slightly narrower than those of polycrystalline sample (Tc ¼ 3:3 K). The reported parame- ters of polycrystalline sample are a ¼ 7:467 A˚ and c ¼ 4:713 A˚ , respectively,12) which are in good agreement with Journal of the Physical Society of Japan Vol.",Paper_1
"4, April, 2009, 044710 #2009 The Physical Society of Japan 044710-1 J. Phys.","Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 The reported parame- ters of polycrystalline sample are a ¼ 7:467 A˚ and c ¼ 4:713 A˚ , respectively,12) which are in good agreement with Journal of the Physical Society of Japan Vol. 4, April, 2009, 044710 #2009 The Physical Society of Japan 044710-1 J. Phys.",Paper_1
Downloaded from journals.jps.jp by Rutgers Univ-New Brunswick on 10/29/25 our polycrystalline sample.,"Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 4, April, 2009, 044710 #2009 The Physical Society of Japan 044710-1 J. Phys. Downloaded from journals.jps.jp by Rutgers Univ-New Brunswick on 10/29/25 our polycrystalline sample.",Paper_1
The structural parameters for the Th7Fe3-type are listed in Table I.13) Ru7B3 crystallizes in a hexagonal structure with the space group of P63mc (No.,"Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 Downloaded from journals.jps.jp by Rutgers Univ-New Brunswick on 10/29/25 our polycrystalline sample. The structural parameters for the Th7Fe3-type are listed in Table I.13) Ru7B3 crystallizes in a hexagonal structure with the space group of P63mc (No.",Paper_1
186) as shown in Fig.,"Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 The structural parameters for the Th7Fe3-type are listed in Table I.13) Ru7B3 crystallizes in a hexagonal structure with the space group of P63mc (No. 186) as shown in Fig.",Paper_1
The space group symmetry of Ru7B3 belongs to the cyclic crystallographic class C6v that has no inversion symmetry.,"Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 186) as shown in Fig. The space group symmetry of Ru7B3 belongs to the cyclic crystallographic class C6v that has no inversion symmetry.",Paper_1
3.2 Magnetic response The bulk nature of superconductivity in Ru7B3 was conﬁrmed in the dc magnetic susceptibility ðTÞ as shown in Fig.,"Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 The space group symmetry of Ru7B3 belongs to the cyclic crystallographic class C6v that has no inversion symmetry. 3.2 Magnetic response The bulk nature of superconductivity in Ru7B3 was conﬁrmed in the dc magnetic susceptibility ðTÞ as shown in Fig.",Paper_1
"The low-ﬁeld susceptibility displays a strong diamagnetic signal due to a superconducting transition temperature with Tonset c ¼ 2:8 K. We conﬁrmed that the polycrystalline sample shows Tonset c ¼ 3:3 K, being slightly higher than that of the single-crystal sample.","Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 3.2 Magnetic response The bulk nature of superconductivity in Ru7B3 was conﬁrmed in the dc magnetic susceptibility ðTÞ as shown in Fig. The low-ﬁeld susceptibility displays a strong diamagnetic signal due to a superconducting transition temperature with Tonset c ¼ 2:8 K. We conﬁrmed that the polycrystalline sample shows Tonset c ¼ 3:3 K, being slightly higher than that of the single-crystal sample.",Paper_1
"What causes the diﬀerence in Tc might depend on the lack of Boron from the stoichiometry such as Ln2C3 (Ln = Y, La)14–17) or NbB2.18–22) The fractional contraction of the lattice constants for the single crystals also supports the scenario.","Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 The low-ﬁeld susceptibility displays a strong diamagnetic signal due to a superconducting transition temperature with Tonset c ¼ 2:8 K. We conﬁrmed that the polycrystalline sample shows Tonset c ¼ 3:3 K, being slightly higher than that of the single-crystal sample. What causes the diﬀerence in Tc might depend on the lack of Boron from the stoichiometry such as Ln2C3 (Ln = Y, La)14–17) or NbB2.18–22) The fractional contraction of the lattice constants for the single crystals also supports the scenario.",Paper_1
Figure 3 shows the M–H curves of the sample at 1.9 K. The magnetization (M–H) curves indicate a typical type-II superconducting behavior.,"Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 What causes the diﬀerence in Tc might depend on the lack of Boron from the stoichiometry such as Ln2C3 (Ln = Y, La)14–17) or NbB2.18–22) The fractional contraction of the lattice constants for the single crystals also supports the scenario. Figure 3 shows the M–H curves of the sample at 1.9 K. The magnetization (M–H) curves indicate a typical type-II superconducting behavior.",Paper_1
The lower critical ﬁeld Hc1ð0Þ is deﬁned as the ﬁeld for deviating from the linear line for the initial slope.,"Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 Figure 3 shows the M–H curves of the sample at 1.9 K. The magnetization (M–H) curves indicate a typical type-II superconducting behavior. The lower critical ﬁeld Hc1ð0Þ is deﬁned as the ﬁeld for deviating from the linear line for the initial slope.",Paper_1
The lower critical ﬁeld Hc1ð0Þ at zero temper- ature is discussed in §3.5.,"Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 The lower critical ﬁeld Hc1ð0Þ is deﬁned as the ﬁeld for deviating from the linear line for the initial slope. The lower critical ﬁeld Hc1ð0Þ at zero temper- ature is discussed in §3.5.",Paper_1
"3.3 Electrical resistivity Figure 4 shows electrical resistivity as a function of temperature between 2.0 and 300 K. The onset and zero- resistivity temperatures were observed to be 2.95 and 2.8 K, respectively.","Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 The lower critical ﬁeld Hc1ð0Þ at zero temper- ature is discussed in §3.5. 3.3 Electrical resistivity Figure 4 shows electrical resistivity as a function of temperature between 2.0 and 300 K. The onset and zero- resistivity temperatures were observed to be 2.95 and 2.8 K, respectively.",Paper_1
Transition width can be deﬁned as the temper- ature interval between 10 and 90% of the transition and is estimated to be approximately 0.1 K. The sharp super- conducting transition indicates the high purity of the sample.,"Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 3.3 Electrical resistivity Figure 4 shows electrical resistivity as a function of temperature between 2.0 and 300 K. The onset and zero- resistivity temperatures were observed to be 2.95 and 2.8 K, respectively. Transition width can be deﬁned as the temper- ature interval between 10 and 90% of the transition and is estimated to be approximately 0.1 K. The sharp super- conducting transition indicates the high purity of the sample.",Paper_1
"The room-temperature resistivity (300 K) is approximately 97 m cm and the residual resistivity just above Tc, (res), is 26 m cm for J k ½100, and (300 K) = 55 m cm, and (res) = 14 m cm for J k ½001.","Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 Transition width can be deﬁned as the temper- ature interval between 10 and 90% of the transition and is estimated to be approximately 0.1 K. The sharp super- conducting transition indicates the high purity of the sample. The room-temperature resistivity (300 K) is approximately 97 m cm and the residual resistivity just above Tc, (res), is 26 m cm for J k ½100, and (300 K) = 55 m cm, and (res) = 14 m cm for J k ½001.",Paper_1
"The residual resistivity ratio (RRR), therefore, is (300 K)/(res) = 3.7 for J k ½100 and 3.9 for J k ½001.","Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 The room-temperature resistivity (300 K) is approximately 97 m cm and the residual resistivity just above Tc, (res), is 26 m cm for J k ½100, and (300 K) = 55 m cm, and (res) = 14 m cm for J k ½001. The residual resistivity ratio (RRR), therefore, is (300 K)/(res) = 3.7 for J k ½100 and 3.9 for J k ½001.",Paper_1
"Normal-state resistivity can be explained by a modiﬁed parallel resistor model.23–27) In this model, ðTÞ is given by ðTÞ ¼ 1 0 þ ph þ 1 max  1 ; ð1Þ where 0 is the residual resistivity, phðTÞ is the resistivity Table I.","Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 The residual resistivity ratio (RRR), therefore, is (300 K)/(res) = 3.7 for J k ½100 and 3.9 for J k ½001. Normal-state resistivity can be explained by a modiﬁed parallel resistor model.23–27) In this model, ðTÞ is given by ðTÞ ¼ 1 0 þ ph þ 1 max  1 ; ð1Þ where 0 is the residual resistivity, phðTÞ is the resistivity Table I.",Paper_1
Structural parameters for the Th7Fe3-type crystal structure.,"Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 Normal-state resistivity can be explained by a modiﬁed parallel resistor model.23–27) In this model, ðTÞ is given by ðTÞ ¼ 1 0 þ ph þ 1 max  1 ; ð1Þ where 0 is the residual resistivity, phðTÞ is the resistivity Table I. Structural parameters for the Th7Fe3-type crystal structure.",Paper_1
Atom Cite x y z Th1 2b 1/3 2/3 0.06 Th2 6c 0.126 0.874 0.250 Th3 6c 0.544 0.456 0.03 B 6c 0.815 0.185 0.31 Fig.,"Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 Structural parameters for the Th7Fe3-type crystal structure. Atom Cite x y z Th1 2b 1/3 2/3 0.06 Th2 6c 0.126 0.874 0.250 Th3 6c 0.544 0.456 0.03 B 6c 0.815 0.185 0.31 Fig.",Paper_1
(Color online) Crystal structure of Ru7B3 with a space group of P63mc.,"Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 Atom Cite x y z Th1 2b 1/3 2/3 0.06 Th2 6c 0.126 0.874 0.250 Th3 6c 0.544 0.456 0.03 B 6c 0.815 0.185 0.31 Fig. (Color online) Crystal structure of Ru7B3 with a space group of P63mc.",Paper_1
