,db,label,description,category,data_type,Physically_Relevant,definition
53,g300,shear modulus at 300 K,shear modulus at 300K,Mechanical property,Float,TRUE,"A measure of a material's resistance to shear (shape-changing) deformation, determined at room temperature (300 kelvin) to characterize its elastic stiffness in the normal, non-superconducting state."
54,ub,unit of bulk modulus,unit of bulk modulus,Mechanical property,String,FALSE,
55,bhe,unit of bulk modulus at 4.2 K,unit of bulk modulus at 4.2K,Mechanical property,Float,FALSE,
57,b300,unit of bulk modulus at 300 K,unit of bulk modulus at 300K,Mechanical property,Float,FALSE,
58,pohe,Poisson ratio at 4.2 K,Poisson ratio at 4.2K,Mechanical property,Float,TRUE,"A measure of a superconducting material's lateral contraction when stretched longitudinally, determined at 4.2 kelvin to describe its elastic deformation behavior."
60,po300,Poisson ratio at 300 K,Poisson ratio at 300K,Mechanical property,Float,TRUE,"A measure of a material’s sideways contraction when stretched lengthwise, determined at room temperature (300 K) to characterize its elastic deformation behavior in the normal (non-superconducting) state."
61,usv,unit of sound velocity,unit of sound velocity,Mechanical property,String,FALSE,
62,svhe,sound velocity at 4.2 K,sound velocity at 4.2K,Mechanical property,Double,TRUE,"The speed at which elastic waves propagate through a superconducting material at 4.2 kelvin, reflecting its low-temperature elastic stiffness and lattice dynamics in the superconducting state."
64,sv300,sound velocity at 300 K,sound velocity at 300K,Mechanical property,Double,TRUE,"The speed of elastic waves through a material at room temperature (300 Kelvin), characterizing its elastic stiffness and lattice properties in the normal state."
65,svfig,figure number for SV(T),figure number for SV(T),Mechanical property,String,FALSE,
66,str1,"*crystal structure, symmetry","*crystal structure, symmetry ( 1=cubic,2=tetragonal,3=orthorhombic,4=monoclinic,5=triclinic,6=trigonal,7=hexagonal)",Structure,Integer,TRUE,"*crystal structure, symmetry ( 1=cubic,2=tetragonal,3=orthorhombic,4=monoclinic,5=triclinic,6=trigonal,7=hexagonal)"
67,str3,common name of structure,*common name of structure,Structure,String,TRUE,"The conventional or informal name for a material's crystal structure, as commonly used within the condensed matter physics community, particularly as it relates to superconducting materials."
68,spaceg,space group,space group,Structure,String,TRUE,space group
69,tblno,international table number,international table number,Structure,Integer,TRUE,"The number assigned to a space group, found in the International Tables for Crystallography, which defines the symmetry of a crystal structure."
70,ulat,unit of lattice constant,unit of lattice constant,Structure,String,FALSE,
71,lata,lattice constant a,lattice constant a,Structure,Float,TRUE,The crystallographic parameter 'a' defining the length of the unit cell along the 'a' direction.
72,latb,lattice constant b,lattice constant b,Structure,Float,TRUE,"The length of the unit cell edge along the 'b' direction, which defines the crystal structure geometry in condensed matter materials like superconductors."
73,latc,lattice constant c,lattice constant c,Structure,Float,TRUE,"The length of the unit cell along the c-axis, critical to the crystal structure in condensed matter physics and superconductivity."
74,analm,*method of analysis for structure,*method of analysis for structure (1.X-ray crystallography 2.Neutron　crystallography 3.Powder x-ray diffraction 4.Powder neutron diffraction　5.Electron diffraction）,Structure,String,TRUE,*method of analysis for structure (1.X-ray crystallography 2.Neutron　crystallography 3.Powder x-ray diffraction 4.Powder neutron diffraction　5.Electron diffraction）
75,model,figure number of structure model,figure number of structure model,Structure,String,FALSE,
76,udldt,unit of D(L)DT,unit of DLDT,Structure,String,FALSE,
77,dadt,temperature dependence of LATA,temperature dependence of LATA,Structure,Float,TRUE,The variation of the lattice constant 'a' of a crystal structure with changes in temperature.
78,dbdt,temperature dependence of LATB,temperature dependence of LATB,Structure,Float,TRUE,The change in the lattice constant along the 'b' direction of a crystal structure with respect to temperature.
79,dcdt,temperature dependence of LATC,temperature dependence of LATC,Structure,Float,TRUE,The change in the lattice constant c of a crystal structure with respect to temperature.
80,udldp,unit of D(L)DP,unit of DLDP,Structure,String,FALSE,
81,dadp,pressure dependence of LATA,pressure dependence of LATA,Structure,Float,TRUE,The change in the lattice constant 'a' (a crystallographic dimension) of a material in response to applied external pressure.
82,dbdp,pressure dependence of LATB,pressure dependence of LATB,Structure,Float,TRUE,The rate at which the lattice constant 'b' of a crystal structure changes in response to applied external pressure.
83,dcdp,pressure dependence of LATC,pressure dependence of LATC,Structure,Float,TRUE,The change in the lattice constant 'c' (one of the unit cell dimensions) of a crystal structure in response to applied pressure.
84,strcmt,comments for structure,comment for structure,Structure,String,FALSE,
85,utc,unit of Tc,unit of Tc,Superconductivity,String,FALSE,
86,t1,transition temperature (R = 0),transition temperature (R=0),Superconductivity,Float,TRUE,The temperature below which a superconductor exhibits zero electrical resistivity ($R=0$).
87,t2,transition temperature (mid point),transition temperature (mid point),Superconductivity,Float,TRUE,The critical temperature ($T_c$) of a superconductor measured as the temperature at which the electrical resistivity (R) reaches 50% of its normal-state value during the transition to the superconducting state.
88,t3,transition temperature (R = 100%),transition temperature (R=100%),Superconductivity,Float,TRUE,"The critical temperature ($T_c$) of a superconductor, measured at the onset of superconductivity (where electrical resistivity R = 100%)."
89,tcsus,Tc from susceptibility measurement,Tc from susceptibility measurement,Superconductivity,Float,TRUE,"The critical temperature (Tc) of a superconductor as determined by the abrupt change in magnetic susceptibility, which signifies the onset of perfect diamagnetism and the superconducting state."
90,tcn,lowest temperature for measurement (not superconducting),lowest temperature for measurement (not superconducting),Superconductivity,Float,TRUE,The minimum measured temperature for samples that do not exhibit superconductivity.
91,tcwidth,transition width for resistive transition,transition width for resistive transition,Superconductivity,Float,TRUE,The temperature range where a superconductor's electrical resistivity drops from 90% to 10% during the transition to the superconducting state.
92,tc,Tc (of this sample) recommended,Tc (of this sample) recommended,Superconductivity,Float,TRUE,The recommended superconducting critical temperature ($T_c$) specific to the sample.
93,tcfig,"figure number for Tc(p, x, etc)","figure number for Tc(p, x, etc)",Superconductivity,String,FALSE,
94,tcmeth,tc measurement method,"(1.magnetization, 2.ac susceptibility, 3.resistivity, 4.heat capacity, 5.tunneling, 6.infrared spectroscopy, 7.thermal conductivity, 8.Raman spectroscopy , 9.nuclear magnetic resonance, 10.surface impedance, 11.neutron diffraction, 12.photoemission spectroscopy, 13.microwave transmission, 14.Others)",Superconductivity,Integer,TRUE,"A technique used to determine the superconducting critical temperature ($T_c$), categorized by methods such as: 1. magnetization, 2. AC susceptibility, 3. resistivity, 4. heat capacity, 5. tunneling, 6. infrared spectroscopy, 7. thermal conductivity, 8. Raman spectroscopy, 9. nuclear magnetic resonance, 10. surface impedance, 11. neutron diffraction, 12. photoemission spectroscopy, 13. microwave transmission, or 14. others."
95,udtcdp,unit of DTCDP,unit of DTCDP,Superconductivity,String,FALSE,
96,dtcdp,slope at P = 0 in Tc vs P plot,slope at P=0 in Tc vs P plot,Superconductivity,Float,TRUE,The initial rate of change of the superconducting transition temperature (Tc) with respect to applied pressure (P) at zero pressure.
97,pmax,maximum pressure applied,maximum pressure applied,Superconductivity,Float,TRUE,The highest pressure applied to a sample in an experiment.
98,isotope,"alpha in Tc = A * M^(-alpha), isotope effect","alpha in Tc=A*M^(-alpha), isotope effect",Superconductivity,Float,TRUE,"The exponent $\alpha$ relating the critical temperature ($T_c$) of a superconductor to the isotopic mass ($M$) as $T_c \propto M^{-\alpha}$, defining the magnitude of the isotope effect."
99,isoel,isotope element,isotope element,Superconductivity,String,TRUE,The element in a superconductor that is isotopically varied to measure the critical temperature change due to the isotope effect.
100,isorat,exchange ratio of isotope(%),exchange ratio of isotope(%),Superconductivity,String,TRUE,"The isotope shift coefficient ($\alpha$) quantifying the dependence of the superconducting transition temperature ($T_c$) on the atomic mass ($M$) of the constituent elements, where $T_c \propto M^{-\alpha}$."
101,dtc,DTC = Tc - Tc0 for isotope element,DTC=Tc-Tc0 for isotope element,Superconductivity,Float,TRUE,The change in superconducting critical temperature due to the presence of an isotope element.
102,vols,volume fraction of Meissner effect(%),"volume fraction of Meissner effect, unit=%",Superconductivity,Float,TRUE,"volume fraction of Meissner effect, unit=%"
103,uhc1,unit of Hc1,unit of Hc1,Superconductivity,String,FALSE,
104,mhc1,method of Hc1 derivation,"method of Hc1 derivation (1.magnetization, 2.ac susceptibility, 3.resistivity, 4.heat capacity, 5.tunneling, 6.infrared spectroscopy, 7.thermal conductivity, 8.Raman spectroscopy , 9.nuclear magnetic resonance, 10.surface impedance, 11.neutron diffraction, 12.photoemission spectroscopy, 13.microwave transmission, 14.Others)",Superconductivity,Integer,TRUE,"method of Hc1 derivation (1.magnetization, 2.ac susceptibility, 3.resistivity, 4.heat capacity, 5.tunneling, 6.infrared spectroscopy, 7.thermal conductivity, 8.Raman spectroscopy , 9.nuclear magnetic resonance, 10.surface impedance, 11.neutron diffraction, 12.photoemission spectroscopy, 13.microwave transmission, 14.Others)"
105,hc1zero,Hc1 at 0 K for poly crystal,Hc1 at 0 K for poly crystal,Superconductivity,Float,TRUE,Hc1 at 0 K for poly crystal
106,phc1zero,Hc1 at 0 K for single crystal for H //ab-plane,Hc1 at 0 K for single crystal for H //ab plane,Superconductivity,Float,TRUE,Hc1 at 0 K for single crystal for H //ab plane
107,nhc1zero,Hc1 at 0 K for single crystal for H //c-axis,Hc1 at 0 K for single crystal for H //c-axis,Superconductivity,Float,TRUE,Hc1 at 0 K for single crystal for H //c-axis
108,hc1t,Hc1 at given temperature for poly crystal,Hc1 at given temperature for poly crystal,Superconductivity,Float,TRUE,Hc1 at given temperature for poly crystal
109,phc1t,Hc1 at given temperature for single crystal H//ab-plane,Hc1 at given temperature for single crystal H//ab-plane,Superconductivity,Float,TRUE,Hc1 at given temperature for single crystal H//ab-plane
110,nhc1t,Hc1 at given temperature for single crystal H//c-axis,Hc1 at given temperature for single crystal H//c-axis,Superconductivity,Float,TRUE,Hc1 at given temperature for single crystal H//c-axis
111,tempc1,measuring temperature,measuring temperature,Superconductivity,Float,TRUE,measuring temperature
112,uhc2,unit of Hc2,unit of Hc2,Superconductivity,String,FALSE,
113,mhc2,method of Hc2 derivation,method of Hc2 derivation,Superconductivity,String,TRUE,method of Hc2 derivation
114,hc2zero,Hc2 at 0 K for poly crystal,Hc2 at 0 K for poly crystal,Superconductivity,Float,TRUE,Hc2 at 0 K for poly crystal
115,phc2zero,Hc2 at 0 K for single crystal for H //ab-plane,Hc2 at 0 K for single crystal for H //ab plane,Superconductivity,Float,TRUE,Hc2 at 0 K for single crystal for H //ab plane
116,nhc2zero,Hc2 at 0 K for single crystal for H //c-axis,Hc2 at 0 K for single crystal for H //c-axis,Superconductivity,Float,TRUE,Hc2 at 0 K for single crystal for H //c-axis
117,hc2t,Hc2 at given temperature for poly crystal,Hc2 at given temperature for poly crystal,Superconductivity,Float,TRUE,Hc2 at given temperature for poly crystal
118,phc2t,Hc2 at given temperature for single crystal H//ab-plane,Hc2 at given temperature for single crystal H//ab-plane,Superconductivity,Float,TRUE,Hc2 at given temperature for single crystal H//ab-plane
119,nhc2t,Hc2 at given temperature for single crystal H//c-axis,Hc2 at given temperature for single crystal H//c-axis,Superconductivity,Float,TRUE,Hc2 at given temperature for single crystal H//c-axis
120,tempc2,measuring temperature,measuring temperature,Superconductivity,Float,TRUE,measuring temperature
121,udhc2dt,unit of dHc2/dT,unit of dHc2/dT,Superconductivity,String,FALSE,
122,mdhc2dt,method of dHc2/dT derivation,"method of dHc2/dT derivation (1.magnetization, 2.ac susceptibility, 3.resistivity, 4.heat capacity, 5.tunneling, 6.infrared spectroscopy, 7.thermal conductivity, 8.Raman spectroscopy , 9.nuclear magnetic resonance, 10.surface impedance, 11.neutron diffraction, 12.photoemission spectroscopy, 13.microwave transmission, 14.Others)",Superconductivity,Integer,TRUE,"method of dHc2/dT derivation (1.magnetization, 2.ac susceptibility, 3.resistivity, 4.heat capacity, 5.tunneling, 6.infrared spectroscopy, 7.thermal conductivity, 8.Raman spectroscopy , 9.nuclear magnetic resonance, 10.surface impedance, 11.neutron diffraction, 12.photoemission spectroscopy, 13.microwave transmission, 14.Others)"
123,dhc2dt,#NAME?,,#N/A,#N/A,TRUE,"The negative derivative of the upper critical magnetic field ($H_{c2}$) with respect to temperature ($T$) evaluated at the superconducting transition temperature ($T_c$), representing how rapidly $H_{c2}$ decreases with increasing temperature near $T_c$ in a polycrystalline sample."
124,pdhc2dt,-slope in Hc2 vs T at Tc for single crystal for H //ab-plane,-slope in Hc2 vs T at Tc for single crystal for H //ab plane,Superconductivity,Float,TRUE,-slope in Hc2 vs T at Tc for single crystal for H //ab plane
125,ndhc2dt,-slope in Hc2 vs T at Tc for single crystal for H //c-axis,-slope in Hc2 vs T at Tc for single crystal for H //c-axis,Superconductivity,Float,TRUE,-slope in Hc2 vs T at Tc for single crystal for H //c-axis
126,hirfig,"figure number for Hirr(T), irreversibility field","figure number for Hirr(T), irreversibility field",Superconductivity,String,FALSE,
127,mhirr,difinition or method for Hirr,difinition or method for Hirr,Superconductivity,String,FALSE,
128,ucohere,unit of COHERE,unit of COHERE,Superconductivity,String,FALSE,
129,mcohere,method of COHERE derivation,method of COHERE derivation,Superconductivity,String,TRUE,The technique used to determine the superconducting coherence length.
130,cohere,coherence length at 0 K for poly crystal,coherence length at 0 K for poly crystal,Superconductivity,Float,TRUE,coherence length at 0 K for poly crystal
131,pcohere,coherence length at 0 K for single crystal for H //ab-plane,coherence length at 0 K for single crystal for H //ab plane,Superconductivity,Float,TRUE,coherence length at 0 K for single crystal for H //ab plane
132,ncohere,coherence length at 0 K for single crystal for H ⊥ab-plane,coherence length at 0 K for single crystal for H ⊥ab plane,Superconductivity,Float,TRUE,"The characteristic size of a Cooper pair or the spatial scale over which the superconducting order parameter varies at zero temperature, measured for a single crystal with the magnetic field applied perpendicular to the ab-plane."
133,upenet,unit of PENET,unit of PENET,Superconductivity,String,FALSE,
134,mpenet,method of PENET derivation,method of PENET derivation,Superconductivity,String,TRUE,The technique used to measure the penetration depth of a superconductor.
135,penet,penetration depth at 0 K for poly crystal,penetration depth at 0 K for poly crystal,Superconductivity,Float,TRUE,penetration depth at 0 K for poly crystal
136,ppenet,penetration depth at 0 K for single crystal for H //ab-plane,penetration depth at 0 K for single crystal for H //ab plane,Superconductivity,Float,TRUE,penetration depth at 0 K for single crystal for H //ab plane
137,npenet,penetration depth at 0 K for single crystal for H⊥ab-plane,penetration depth at 0 K for single crystal for H⊥ab plane,Superconductivity,Float,TRUE,"The magnetic field penetration distance in a single crystal superconductor at zero temperature, measured with the field perpendicular to the ab-plane, reflecting the superfluid density along the c-axis."
138,ugap,unit of energy gap,unit of energy gap,Superconductivity,String,FALSE,
139,gap,"energy gap at 0 K , delta(0)","energy gap at 0 K , delta(0)",Superconductivity,Float,TRUE,"The minimum energy, denoted as $\Delta(0)$, required to break an electronic pair into two individual quasi-particles in a superconductor at absolute zero (0K)."
140,gapene,"normarized energy gap at 0 K , 2delta(0)/kTc","normarized energy gap at 0 K , 2delta(0)/kTc",Superconductivity,Float,TRUE,"normarized energy gap at 0 K , 2delta(0)/kTc"
141,gapmeth,method of measuring energy gap,"method of measuring energy gap (1.tunneling, 2.infrared spectroscopy, 3.thermal conductivity, 4.Raman spectroscopy , 5.AC susceptibility, 6.nuclear magnetic resonance, 7.surface impedance, 8.neutron diffraction, 9.ultraviolet photoemission spectroscopy, 10.microwave transmission)",Superconductivity,Integer,TRUE,"Experimental techniques used to determine the gap energy in superconductors, including tunneling, infrared spectroscopy, thermal conductivity, Raman spectroscopy, AC susceptibility, nuclear magnetic resonance, surface impedance, neutron diffraction, ultraviolet photoemission spectroscopy, and microwave transmission."
142,jche,"Jc at 4.2 K, H = 0 T","Jc at 4.2K, H=0 T",Superconductivity,Double,TRUE,"Jc at 4.2K, H=0 T"
143,jc77,"Jc at T = 77 K, H = 0 T","Jc at T=77K,H=0T",Superconductivity,Double,TRUE,"Jc at T=77K,H=0T"
144,figjc,"figure number for Jc(T,H)","figure number for Jc(T,H)",Superconductivity,String,FALSE,
145,spheat,graph number of specific heat,graph number of specific heat,Thermal property,String,FALSE,
146,ujump,unit of SPJUMP,unit of SPJUMP,Thermal property,String,FALSE,
147,spjump,specific heat jump at Tc (delta-C),specific heat jump at Tc (delta-C),Thermal property,Float,TRUE,specific heat jump at Tc (delta-C)
148,ugamma,unit of GAMMA,unit of GAMMA,Thermal property,Float,FALSE,
149,gamma,coefficient of electronic specific heat,coefficient of electronic specific heat,Thermal property,Float,TRUE,coefficient of electronic specific heat
150,gamcom,comment for derivation of GAMMA,comment for derivation of GAMMA,Thermal property,String,FALSE,
151,debyet,Debye temperature,Debye temperature,Thermal property,Float,TRUE,Debye temperature
152,mdebye,method for derivation of Debye temperature,method for derivation of Debye temperature,Thermal property,String,TRUE,method for derivation of Debye temperature
153,uthc,unit of thermal conductivity,unit of thermal conductivity,Thermal property,String,FALSE,
154,thc300,thermal conductivity at 300 K,thermal conductivity at 300K,Thermal property,Float,TRUE,"The material's ability to conduct heat, measured at a temperature of 300 Kelvin."
155,thc300n,thermal conductivity at 300 K for heat flow//c-axis,thermal conductivity at 300K for heat flow//c-axis,Thermal property,Float,TRUE,thermal conductivity at 300K for heat flow//c-axis
156,thc300p,thermal conductivity at 300 K for heat flow//ab-plane,thermal conductivity at 300K for heat flow//ab-plane,Thermal property,Float,TRUE,thermal conductivity at 300K for heat flow//ab-plane
157,thcfig,graph number for thermal conductivity,graph number for thermal conductivity,Thermal property,String,FALSE,
158,utp,unit of thermopower,unit of thermopower,Thermal property,String,FALSE,
159,tp300,thermopower at 300 K,thermopower at 300K,Thermal property,Float,TRUE,thermopower at 300K
160,tp300n,thermopower at 300 K for normal to ab-plane,thermopower at 300K for normal to ab-plane,Thermal property,Float,TRUE,"The voltage generated per unit temperature difference across a material at 300 K, measured with the thermal gradient perpendicular to the ab-plane, reflecting charge carrier type and transport behavior in the normal state."
161,tp300p,thermopower at 300 K for parallel to ab-plane,thermopower at 300K for parallel to ab-plane,Thermal property,Float,TRUE,thermopower at 300K for parallel to ab-plane
162,tpfig,graph number for thermopower,graph number for thermopower,Thermal property,String,FALSE,
163,ures,unit of resistivity,unit of resistivity,Normal state property,String,FALSE,
164,reshe,resistivity at 4.2 K for poly crystal,resistivity at 4.2K for poly crystal,Normal state property,Float,TRUE,resistivity at 4.2K for poly crystal
165,abreshe,resistivity at 4.2 K for single crystal for J//ab-plane,resistivity at 4.2K for single crystal for J//ab plane,Normal state property,Float,TRUE,Electrical resistivity measured at 4.2 Kelvin for a single-crystal material when the current density (J) flows parallel to the ab-plane of the crystal structure. This value typically represents the residual or normal-state resistivity just above the superconducting transition temperature.
166,creshe,resistivity at 4.2 K for single crystal for J//c-axis,resistivity at 4.2K for single crystal for J//c-axis,Normal state property,Float,TRUE,"The electrical resistivity of a single crystal, measured at 4.2 K, with the current density (J) directed parallel to the c-axis, used to study fundamental electronic transport properties at cryogenic temperatures."
167,res77,resistivity at 77 K for poly crystal,resistivity at 77K for poly crystal,Normal state property,Float,TRUE,resistivity at 77K for poly crystal
168,abres77,resistivity at 77 K for single crystal for J//ab-plane,resistivity at 77K for single crystal for J//ab plane,Normal state property,Float,TRUE,"The electrical resistivity of a single crystal measured at 77 Kelvin, with the current density (J) applied parallel to the crystal's ab-plane."
169,cres77,resistivity at 77 K for single crystal for J//c-axis,resistivity at 77K for single crystal for J//c-axis,Normal state property,Float,TRUE,"Electrical resistivity of a single crystal at 77 K (liquid nitrogen temperature), measured with the current density (J) parallel to the crystallographic c-axis."
170,resn,resistivity at normal-T for poly crystal,resistivity at normal-T for poly crystal,Normal state property,Float,TRUE,resistivity at normal-T for poly crystal
171,abresn,resistivity at normal-T for single crystal for J//ab-plane,resistivity at normal-T for single crystal for J//ab plane,Normal state property,Float,TRUE,"Electrical resistivity of a single crystal superconductor measured in the normal state (above $T_c$), with the current density (J) directed parallel to the crystallographic $ab$-plane."
172,cresn,resistivity at normal-T for single crystal for J//c-axis,resistivity at normal-T for single crystal for J//c-axis,Normal state property,Float,TRUE,"Electrical resistivity of a single crystal above its critical temperature, measured with current density parallel to the c-axis."
173,nort,normal temperature,normal temperature,Normal state property,Float,TRUE,"The temperature, typically room temperature, at which a material is in its normal state and does not exhibit superconductivity."
174,resrt,resistivity at RT for poly crystal,resistivity at RT for poly crystal,Normal state property,Float,TRUE,resistivity at RT for poly crystal
175,abresrt,resistivity at RT for single crystal for J//ab-plane,resistivity at RT for single crystal for J//ab plane,Normal state property,Float,TRUE,"The electrical resistivity of a single-crystal material at room temperature (RT), measured with the current density (J) parallel to the crystal's ab-plane."
176,cresrt,resistivity at RT for single crystal for J//c-axis,resistivity at RT for single crystal for J//c-axis,Normal state property,Float,TRUE,Electrical resistivity measured in a single crystal at room temperature (RT) with the current density (J) directed parallel to the crystallographic c-axis.
177,uhall,unit of RH300,unit of RH300,Normal state property,String,FALSE,
178,rh300,Hall coefficient at 300 K,Hall coefficient at 300K,Normal state property,Double,TRUE,Hall coefficient at 300K
179,rh300n,"Hall coefficient at 300 K for single, H//c-axis","Hall coefficient at 300K for single, H//c-axis",Normal state property,Double,TRUE,"The Hall coefficient measured at 300 K for a single-crystal material, specifically indicating the response of free charge carriers to a magnetic field applied parallel to the c-axis."
180,rh300p,"Hall coefficient at 300 K for single, H//ab-plane","Hall coefficient at 300K for single, H//ab-plane",Normal state property,Double,TRUE,"The measure of how free charge carriers in a single-crystal material respond to a magnetic field applied parallel to the ab-plane, specifically measured at 300 K."
181,rhn,"Hall coefficient for single, H//c-axis","Hall coefficient for single, H//c-axis",Normal state property,Double,TRUE,"The Hall coefficient specifically measured in a single crystal material where the applied magnetic field (H) is oriented parallel to the crystallographic c-axis, quantifying the response of free charge carriers to the magnetic field in this configuration."
182,field,magnetic field for Hall effect,magnetic field for Hall effect,Normal state property,Float,TRUE,magnetic field for Hall effect
183,hallfig,graph number for Hall coefficient,graph number for Hall coefficient,Normal state property,String,FALSE,
184,ucarr,unit of carrier density,unit of carrier density,Normal state property,String,FALSE,
185,carrier,carrier density at 300 K,carrier density at 300K,Normal state property,Double,TRUE,carrier density at 300K
186,rawmat,raw materials,raw materials,Preparation,String,TRUE,The foundational substances used for the synthesis of a specific superconducting material.
187,method,*preparation method,*preparation method (see the end of this table),Preparation,Integer,TRUE,The specific technique or process used to create or synthesize the material sample.
188,prepcmt,preparation comments,preparation process,Preparation,String,FALSE,
189,f_prep,preparation method for film,preparation method for film,Preparation,String,FALSE,
190,subst,substrate,substrate,Preparation,String,TRUE,The foundational material onto which a superconducting thin film is grown or deposited.
191,target,target material,target material,Preparation,String,TRUE,The source material used for the synthesis of a superconducting material.
192,pr_commt,process comments,,,String,FALSE,
193,title,title of reference,,,String,FALSE,
194,year,publication year of reference,year of reference,,Integer,FALSE,
195,month,month of reference,,,Integer,FALSE,
196,keyword,keyword,,,String,FALSE,
197,institute,institute,,,String,FALSE,
198,journal,journal,,,String,FALSE,
199,sample,sample,,,String,FALSE,
200,comments,comments,,,String,FALSE,
