paper,material,property_name,property_value,property_unit,definition
Paper_DB/Paper_1.pdf,Ru7B3,method of Hc1 derivation,linear M-H curve,Oe,"method of Hc1 derivation (1.magnetization, 2.ac susceptibility, 3.resistivity, 4.heat capacity, 5.tunneling, 6.infrared spectroscopy, 7.thermal conductivity, 8.Raman spectroscopy , 9.nuclear magnetic resonance, 10.surface impedance, 11.neutron diffraction, 12.photoemission spectroscopy, 13.microwave transmission, 14.Others)"
Paper_DB/Paper_1.pdf,Ru7B3,Hc1 at 0 K for single crystal for H //ab-plane,53,Oe,Hc1 at 0 K for single crystal for H //ab plane
Paper_DB/Paper_1.pdf,Ru7B3,Hc1 at 0 K for single crystal for H //c-axis,68,Oe,Hc1 at 0 K for single crystal for H //c-axis
Paper_DB/Paper_1.pdf,Ru7B3,method of Hc2 derivation,SP-heat,T,method of Hc2 derivation
Paper_DB/Paper_1.pdf,Ru7B3,Hc2 at 0 K for single crystal for H //ab-plane,1.72,T,Hc2 at 0 K for single crystal for H //ab plane
Paper_DB/Paper_1.pdf,Ru7B3,Hc2 at 0 K for single crystal for H //c-axis,1.58,T,Hc2 at 0 K for single crystal for H //c-axis
Paper_DB/Paper_1.pdf,Ru7B3,method of dHc2/dT derivation,SP-heat,T/K,"method of dHc2/dT derivation (1.magnetization, 2.ac susceptibility, 3.resistivity, 4.heat capacity, 5.tunneling, 6.infrared spectroscopy, 7.thermal conductivity, 8.Raman spectroscopy , 9.nuclear magnetic resonance, 10.surface impedance, 11.neutron diffraction, 12.photoemission spectroscopy, 13.microwave transmission, 14.Others)"
Paper_DB/Paper_1.pdf,Ru7B3,-slope in Hc2 vs T at Tc for single crystal for H //ab-plane,0.782,T/K,-slope in Hc2 vs T at Tc for single crystal for H //ab plane
Paper_DB/Paper_1.pdf,Ru7B3,-slope in Hc2 vs T at Tc for single crystal for H //c-axis,0.707,T/K,-slope in Hc2 vs T at Tc for single crystal for H //c-axis
Paper_DB/Paper_1.pdf,Ru7B3,method of COHERE derivation,from Hc2,A,The technique used to determine the superconducting coherence length.
Paper_DB/Paper_1.pdf,Ru7B3,coherence length at 0 K for single crystal for H //ab-plane,138,A,coherence length at 0 K for single crystal for H //ab plane
Paper_DB/Paper_1.pdf,Ru7B3,coherence length at 0 K for single crystal for H ⊥ab-plane,144,A,"The characteristic size of a Cooper pair or the spatial scale over which the superconducting order parameter varies at zero temperature, measured for a single crystal with the magnetic field applied perpendicular to the ab-plane."
Paper_DB/Paper_1.pdf,Ru7B3,method of PENET derivation,"G-L theory, Hc(0)",A,The technique used to measure the penetration depth of a superconductor.
Paper_DB/Paper_1.pdf,Ru7B3,penetration depth at 0 K for single crystal for H //ab-plane,3520,A,penetration depth at 0 K for single crystal for H //ab plane
Paper_DB/Paper_1.pdf,Ru7B3,penetration depth at 0 K for single crystal for H⊥ab-plane,3110,A,"The magnetic field penetration distance in a single crystal superconductor at zero temperature, measured with the field perpendicular to the ab-plane, reflecting the superfluid density along the c-axis."
Paper_DB/Paper_1.pdf,Ru7B3,"energy gap at 0 K , delta(0)",0.38,meV,"The minimum energy, denoted as $\Delta(0)$, required to break an electronic pair into two individual quasi-particles in a superconductor at absolute zero (0K)."
Paper_DB/Paper_1.pdf,Ru7B3,"normarized energy gap at 0 K , 2delta(0)/kTc",3.3,meV,"normarized energy gap at 0 K , 2delta(0)/kTc"
Paper_DB/Paper_1.pdf,Ru7B3,method of measuring energy gap,14,meV,"Experimental techniques used to determine the gap energy in superconductors, including tunneling, infrared spectroscopy, thermal conductivity, Raman spectroscopy, AC susceptibility, nuclear magnetic resonance, surface impedance, neutron diffraction, ultraviolet photoemission spectroscopy, and microwave transmission."
Paper_DB/Paper_1.pdf,Ru7B3,coefficient of electronic specific heat,43.7,mJ/mol.K2,coefficient of electronic specific heat
Paper_DB/Paper_1.pdf,Ru7B3,Debye temperature,640,,Debye temperature
Paper_DB/Paper_1.pdf,Ru7B3,method for derivation of Debye temperature,SP-heat,,method for derivation of Debye temperature
Paper_DB/Paper_1.pdf,Ru7B3,resistivity at 4.2 K for single crystal for J//ab-plane,0.014,mOhm.cm,Electrical resistivity measured at 4.2 Kelvin for a single-crystal material when the current density (J) flows parallel to the ab-plane of the crystal structure. This value typically represents the residual or normal-state resistivity just above the superconducting transition temperature.
Paper_DB/Paper_1.pdf,Ru7B3,resistivity at 4.2 K for single crystal for J//c-axis,0.026,mOhm.cm,"The electrical resistivity of a single crystal, measured at 4.2 K, with the current density (J) directed parallel to the c-axis, used to study fundamental electronic transport properties at cryogenic temperatures."
Paper_DB/Paper_1.pdf,Ru7B3,resistivity at RT for single crystal for J//ab-plane,0.055,mOhm.cm,"The electrical resistivity of a single-crystal material at room temperature (RT), measured with the current density (J) parallel to the crystal's ab-plane."
Paper_DB/Paper_1.pdf,Ru7B3,resistivity at RT for single crystal for J//c-axis,0.097,mOhm.cm,Electrical resistivity measured in a single crystal at room temperature (RT) with the current density (J) directed parallel to the crystallographic c-axis.
Paper_DB/Paper_10.pdf,Sr0.4Ca13.6Cu24O41,common formula of materials,"(Sr,Ca)14Cu24O41",,common formula of materials
Paper_DB/Paper_10.pdf,Sr0.4Ca13.6Cu24O41,shape,3,,"*sample form (1: single phase(bulk),2: multi phase (bulk),3: single crystal(bulk) ,4:film,5:film(single))"
Paper_DB/Paper_10.pdf,Sr0.4Ca13.6Cu24O41,common name of structure,LAD,,"The conventional or informal name for a material's crystal structure, as commonly used within the condensed matter physics community, particularly as it relates to superconducting materials."
Paper_DB/Paper_10.pdf,Sr0.4Ca13.6Cu24O41,lattice constant a,11.25,A,The crystallographic parameter 'a' defining the length of the unit cell along the 'a' direction.
Paper_DB/Paper_10.pdf,Sr0.4Ca13.6Cu24O41,lattice constant b,12.43,A,"The length of the unit cell edge along the 'b' direction, which defines the crystal structure geometry in condensed matter materials like superconductors."
Paper_DB/Paper_10.pdf,Sr0.4Ca13.6Cu24O41,lattice constant c,3.906,A,"The length of the unit cell along the c-axis, critical to the crystal structure in condensed matter physics and superconductivity."
Paper_DB/Paper_10.pdf,Sr0.4Ca13.6Cu24O41,temperature dependence of LATA,-0.013,A/GPa,The variation of the lattice constant 'a' of a crystal structure with changes in temperature.
Paper_DB/Paper_10.pdf,Sr0.4Ca13.6Cu24O41,temperature dependence of LATB,-0.087,A/GPa,The change in the lattice constant along the 'b' direction of a crystal structure with respect to temperature.
Paper_DB/Paper_10.pdf,Sr0.4Ca13.6Cu24O41,temperature dependence of LATC,-0.0075,A/GPa,The change in the lattice constant c of a crystal structure with respect to temperature.
Paper_DB/Paper_10.pdf,Sr10Ba4Cu24O41,common formula of materials,"(Sr,Ba)14Cu24O41",,common formula of materials
Paper_DB/Paper_10.pdf,Sr10Ba4Cu24O41,shape,3,,"*sample form (1: single phase(bulk),2: multi phase (bulk),3: single crystal(bulk) ,4:film,5:film(single))"
Paper_DB/Paper_10.pdf,Sr10Ba4Cu24O41,common name of structure,LAD,,"The conventional or informal name for a material's crystal structure, as commonly used within the condensed matter physics community, particularly as it relates to superconducting materials."
Paper_DB/Paper_10.pdf,Sr10Ba4Cu24O41,lattice constant a,11.52,A,The crystallographic parameter 'a' defining the length of the unit cell along the 'a' direction.
Paper_DB/Paper_10.pdf,Sr10Ba4Cu24O41,lattice constant b,13.8,A,"The length of the unit cell edge along the 'b' direction, which defines the crystal structure geometry in condensed matter materials like superconductors."
Paper_DB/Paper_10.pdf,Sr10Ba4Cu24O41,lattice constant c,3.96,A,"The length of the unit cell along the c-axis, critical to the crystal structure in condensed matter physics and superconductivity."
Paper_DB/Paper_10.pdf,Sr10Ba4Cu24O41,temperature dependence of LATA,-0.0113,A/GPa,The variation of the lattice constant 'a' of a crystal structure with changes in temperature.
Paper_DB/Paper_10.pdf,Sr10Ba4Cu24O41,temperature dependence of LATB,-0.125,A/GPa,The change in the lattice constant along the 'b' direction of a crystal structure with respect to temperature.
Paper_DB/Paper_10.pdf,Sr10Ba4Cu24O41,temperature dependence of LATC,-0.00741,A/GPa,The change in the lattice constant c of a crystal structure with respect to temperature.
Paper_DB/Paper_10.pdf,Sr14Cu24O41,lattice constant a,11.46,A,The crystallographic parameter 'a' defining the length of the unit cell along the 'a' direction.
Paper_DB/Paper_10.pdf,Sr14Cu24O41,lattice constant b,13.4,A,"The length of the unit cell edge along the 'b' direction, which defines the crystal structure geometry in condensed matter materials like superconductors."
Paper_DB/Paper_10.pdf,Sr14Cu24O41,lattice constant c,3.975,A,"The length of the unit cell along the c-axis, critical to the crystal structure in condensed matter physics and superconductivity."
Paper_DB/Paper_10.pdf,Sr14Cu24O41,temperature dependence of LATA,-0.01,A/GPa,The variation of the lattice constant 'a' of a crystal structure with changes in temperature.
Paper_DB/Paper_10.pdf,Sr14Cu24O41,temperature dependence of LATB,-0.1,A/GPa,The change in the lattice constant along the 'b' direction of a crystal structure with respect to temperature.
Paper_DB/Paper_10.pdf,Sr14Cu24O41,temperature dependence of LATC,-0.01,A/GPa,The change in the lattice constant c of a crystal structure with respect to temperature.
Paper_DB/Paper_10.pdf,Sr8Ca6Cu24O41,lattice constant a,11.38,A,The crystallographic parameter 'a' defining the length of the unit cell along the 'a' direction.
Paper_DB/Paper_10.pdf,Sr8Ca6Cu24O41,lattice constant b,13,A,"The length of the unit cell edge along the 'b' direction, which defines the crystal structure geometry in condensed matter materials like superconductors."
Paper_DB/Paper_10.pdf,Sr8Ca6Cu24O41,lattice constant c,3.917,A,"The length of the unit cell along the c-axis, critical to the crystal structure in condensed matter physics and superconductivity."
Paper_DB/Paper_10.pdf,Sr8Ca6Cu24O41,temperature dependence of LATA,-0.11,A/GPa,The variation of the lattice constant 'a' of a crystal structure with changes in temperature.
Paper_DB/Paper_10.pdf,Sr8Ca6Cu24O41,temperature dependence of LATB,-0.1,A/GPa,The change in the lattice constant along the 'b' direction of a crystal structure with respect to temperature.
Paper_DB/Paper_10.pdf,Sr8Ca6Cu24O41,temperature dependence of LATC,-0.0069,A/GPa,The change in the lattice constant c of a crystal structure with respect to temperature.
Paper_DB/Paper_10.pdf,Sr8Nd6Cu24O41,common formula of materials,"(Sr,Nd)14Cu24O41",,common formula of materials
Paper_DB/Paper_10.pdf,Sr8Nd6Cu24O41,shape,3,,"*sample form (1: single phase(bulk),2: multi phase (bulk),3: single crystal(bulk) ,4:film,5:film(single))"
Paper_DB/Paper_10.pdf,Sr8Nd6Cu24O41,common name of structure,LAD,,"The conventional or informal name for a material's crystal structure, as commonly used within the condensed matter physics community, particularly as it relates to superconducting materials."
Paper_DB/Paper_10.pdf,Sr8Nd6Cu24O41,lattice constant a,11.35,A,The crystallographic parameter 'a' defining the length of the unit cell along the 'a' direction.
Paper_DB/Paper_10.pdf,Sr8Nd6Cu24O41,lattice constant b,13,A,"The length of the unit cell edge along the 'b' direction, which defines the crystal structure geometry in condensed matter materials like superconductors."
Paper_DB/Paper_10.pdf,Sr8Nd6Cu24O41,lattice constant c,3.985,A,"The length of the unit cell along the c-axis, critical to the crystal structure in condensed matter physics and superconductivity."
Paper_DB/Paper_10.pdf,Sr8Nd6Cu24O41,temperature dependence of LATA,-0.01,A/GPa,The variation of the lattice constant 'a' of a crystal structure with changes in temperature.
Paper_DB/Paper_10.pdf,Sr8Nd6Cu24O41,temperature dependence of LATB,-0.075,A/GPa,The change in the lattice constant along the 'b' direction of a crystal structure with respect to temperature.
Paper_DB/Paper_10.pdf,Sr8Nd6Cu24O41,temperature dependence of LATC,-0.0075,A/GPa,The change in the lattice constant c of a crystal structure with respect to temperature.
Paper_DB/Paper_11.pdf,La1Ru2P2,shape,3,,"*sample form (1: single phase(bulk),2: multi phase (bulk),3: single crystal(bulk) ,4:film,5:film(single))"
Paper_DB/Paper_11.pdf,La1Ru2P2,space group,I4/mmm,,space group
Paper_DB/Paper_11.pdf,La1Ru2P2,lattice constant c,10.67,A,"The length of the unit cell along the c-axis, critical to the crystal structure in condensed matter physics and superconductivity."
Paper_DB/Paper_11.pdf,La1Ru2P2,transition temperature (mid point),3.7,,The critical temperature ($T_c$) of a superconductor measured as the temperature at which the electrical resistivity (R) reaches 50% of its normal-state value during the transition to the superconducting state.
Paper_DB/Paper_11.pdf,La1Ru2P2,transition width for resistive transition,0.1,K,The temperature range where a superconductor's electrical resistivity drops from 90% to 10% during the transition to the superconducting state.
Paper_DB/Paper_11.pdf,La1Ru2P2,Tc (of this sample) recommended,3.7,K,The recommended superconducting critical temperature ($T_c$) specific to the sample.
Paper_DB/Paper_11.pdf,La1Ru2P2,volume fraction of Meissner effect(%),80,,"volume fraction of Meissner effect, unit=%"
Paper_DB/Paper_11.pdf,La1Ru2P2,method of Hc1 derivation,"M-H curve, linear approx.",Oe,"method of Hc1 derivation (1.magnetization, 2.ac susceptibility, 3.resistivity, 4.heat capacity, 5.tunneling, 6.infrared spectroscopy, 7.thermal conductivity, 8.Raman spectroscopy , 9.nuclear magnetic resonance, 10.surface impedance, 11.neutron diffraction, 12.photoemission spectroscopy, 13.microwave transmission, 14.Others)"
Paper_DB/Paper_11.pdf,La1Ru2P2,Hc1 at 0 K for single crystal for H //ab-plane,230,Oe,Hc1 at 0 K for single crystal for H //ab plane
Paper_DB/Paper_11.pdf,La1Ru2P2,Hc1 at given temperature for single crystal H//ab-plane,114,Oe,Hc1 at given temperature for single crystal H//ab-plane
Paper_DB/Paper_11.pdf,La1Ru2P2,Hc1 at given temperature for single crystal H//c-axis,100,Oe,Hc1 at given temperature for single crystal H//c-axis
Paper_DB/Paper_11.pdf,La1Ru2P2,measuring temperature,1.8,,measuring temperature
Paper_DB/Paper_11.pdf,La1Ru2P2,method of Hc2 derivation,"RES, R=0.5Rn, WHH",Oe,method of Hc2 derivation
Paper_DB/Paper_11.pdf,La1Ru2P2,Hc2 at 0 K for single crystal for H //ab-plane,1140,Oe,Hc2 at 0 K for single crystal for H //ab plane
Paper_DB/Paper_11.pdf,La1Ru2P2,Hc2 at 0 K for single crystal for H //c-axis,1140,Oe,Hc2 at 0 K for single crystal for H //c-axis
Paper_DB/Paper_11.pdf,La1Ru2P2,method of COHERE derivation,from Hc2(0),A,The technique used to determine the superconducting coherence length.
Paper_DB/Paper_11.pdf,La1Ru2P2,coherence length at 0 K for poly crystal,540,A,coherence length at 0 K for poly crystal
Paper_DB/Paper_11.pdf,La1Ru2P2,method of PENET derivation,from Hc1(T),A,The technique used to measure the penetration depth of a superconductor.
Paper_DB/Paper_11.pdf,La1Ru2P2,penetration depth at 0 K for poly crystal,800,A,penetration depth at 0 K for poly crystal
Paper_DB/Paper_11.pdf,La1Ru2P2,resistivity at normal-T for single crystal for J//ab-plane,8.9,uOhm.cm,"Electrical resistivity of a single crystal superconductor measured in the normal state (above $T_c$), with the current density (J) directed parallel to the crystallographic $ab$-plane."
Paper_DB/Paper_11.pdf,La1Ru2P2,resistivity at RT for single crystal for J//ab-plane,110,uOhm.cm,"The electrical resistivity of a single-crystal material at room temperature (RT), measured with the current density (J) parallel to the crystal's ab-plane."
Paper_DB/Paper_11.pdf,La1Ru2P2,carrier density at 300 K,3.00E+22,n/cm3,carrier density at 300K
Paper_DB/Paper_11.pdf,La1Ru2P2,raw materials,"La,Ru,P",,The foundational substances used for the synthesis of a specific superconducting material.
Paper_DB/Paper_12.pdf,Pb0.9Bi2Te3.8,common formula of materials,Pb0.9Bi2Te3.8,,common formula of materials
Paper_DB/Paper_12.pdf,Pb0.9Bi2Te3.8,shape,3,,"*sample form (1: single phase(bulk),2: multi phase (bulk),3: single crystal(bulk) ,4:film,5:film(single))"
Paper_DB/Paper_12.pdf,Pb0.9Bi2Te3.8,"*crystal structure, symmetry",6,,"*crystal structure, symmetry ( 1=cubic,2=tetragonal,3=orthorhombic,4=monoclinic,5=triclinic,6=trigonal,7=hexagonal)"
Paper_DB/Paper_12.pdf,Pb0.9Bi2Te3.8,space group,R-3m,,space group
Paper_DB/Paper_12.pdf,Pb0.9Bi2Te3.8,lattice constant a,4.42,A,The crystallographic parameter 'a' defining the length of the unit cell along the 'a' direction.
Paper_DB/Paper_12.pdf,Pb0.9Bi2Te3.8,lattice constant b,4.42,A,"The length of the unit cell edge along the 'b' direction, which defines the crystal structure geometry in condensed matter materials like superconductors."
Paper_DB/Paper_12.pdf,Pb0.9Bi2Te3.8,lattice constant c,41.57,A,"The length of the unit cell along the c-axis, critical to the crystal structure in condensed matter physics and superconductivity."
Paper_DB/Paper_12.pdf,Pb0.9Bi2Te3.8,*method of analysis for structure,1,,*method of analysis for structure (1.X-ray crystallography 2.Neutron　crystallography 3.Powder x-ray diffraction 4.Powder neutron diffraction　5.Electron diffraction）
Paper_DB/Paper_12.pdf,Pb0.9Bi2Te3.8,Tc (of this sample) recommended,7.9,K,The recommended superconducting critical temperature ($T_c$) specific to the sample.
Paper_DB/Paper_12.pdf,Pb0.9Bi2Te3.8,tc measurement method,1,K,"A technique used to determine the superconducting critical temperature ($T_c$), categorized by methods such as: 1. magnetization, 2. AC susceptibility, 3. resistivity, 4. heat capacity, 5. tunneling, 6. infrared spectroscopy, 7. thermal conductivity, 8. Raman spectroscopy, 9. nuclear magnetic resonance, 10. surface impedance, 11. neutron diffraction, 12. photoemission spectroscopy, 13. microwave transmission, or 14. others."
Paper_DB/Paper_12.pdf,Pb0.9Bi2Te3.8,maximum pressure applied,50.8,,The highest pressure applied to a sample in an experiment.
Paper_DB/Paper_12.pdf,Pb0.9Bi2Te3.8,method of Hc2 derivation,resistivity,T,method of Hc2 derivation
Paper_DB/Paper_12.pdf,Pb0.9Bi2Te3.8,Hc2 at 0 K for poly crystal,5.8,T,Hc2 at 0 K for poly crystal
Paper_DB/Paper_12.pdf,Pb0.9Bi2Te3.8,Hc2 at 0 K for single crystal for H //ab-plane,21.7,T,Hc2 at 0 K for single crystal for H //ab plane
Paper_DB/Paper_12.pdf,Pb0.9Bi2Te3.8,Hc2 at given temperature for single crystal H//ab-plane,0,T,Hc2 at given temperature for single crystal H//ab-plane
Paper_DB/Paper_12.pdf,Pb0.9Bi2Te3.8,thermal conductivity at 300 K,1.54,W/K.m,"The material's ability to conduct heat, measured at a temperature of 300 Kelvin."
Paper_DB/Paper_12.pdf,Pb0.9Bi2Te3.8,thermopower at 300 K for parallel to ab-plane,100,microW/mK2,thermopower at 300K for parallel to ab-plane
Paper_DB/Paper_12.pdf,Pb0.9Bi2Te3.8,raw materials,PbBi2Te4,,The foundational substances used for the synthesis of a specific superconducting material.
Paper_DB/Paper_12.pdf,Pb0.9Bi2Te3.8,*preparation method,9,,The specific technique or process used to create or synthesize the material sample.
Paper_DB/Paper_13.pdf,Y1Ba2Cu3O7-d,common formula of materials,YBa2Cu3O7-d,,common formula of materials
Paper_DB/Paper_13.pdf,Y1Ba2Cu3O7-d,shape,5,,"*sample form (1: single phase(bulk),2: multi phase (bulk),3: single crystal(bulk) ,4:film,5:film(single))"
Paper_DB/Paper_13.pdf,Y1Ba2Cu3O7-d,transition temperature (R = 100%),90.4,,"The critical temperature ($T_c$) of a superconductor, measured at the onset of superconductivity (where electrical resistivity R = 100%)."
Paper_DB/Paper_13.pdf,Y1Ba2Cu3O7-d,transition temperature (R = 100%),90.3,,"The critical temperature ($T_c$) of a superconductor, measured at the onset of superconductivity (where electrical resistivity R = 100%)."
Paper_DB/Paper_13.pdf,Y1Ba2Cu3O7-d,Tc (of this sample) recommended,90.4,K,The recommended superconducting critical temperature ($T_c$) specific to the sample.
Paper_DB/Paper_13.pdf,Y1Ba2Cu3O7-d,Tc (of this sample) recommended,90.3,K,The recommended superconducting critical temperature ($T_c$) specific to the sample.
Paper_DB/Paper_13.pdf,Y1Ba2Cu3O7-d,method of COHERE derivation,Determined from Microwave Data.,A,The technique used to determine the superconducting coherence length.
Paper_DB/Paper_13.pdf,Y1Ba2Cu3O7-d,coherence length at 0 K for poly crystal,20,A,coherence length at 0 K for poly crystal
Paper_DB/Paper_13.pdf,Y1Ba2Cu3O7-d,method of PENET derivation,Determined from Microwave Data.,A,The technique used to measure the penetration depth of a superconductor.
Paper_DB/Paper_13.pdf,Y1Ba2Cu3O7-d,method of PENET derivation,Determined from Microwave Data,A,The technique used to measure the penetration depth of a superconductor.
Paper_DB/Paper_13.pdf,Y1Ba2Cu3O7-d,penetration depth at 0 K for poly crystal,1700,A,penetration depth at 0 K for poly crystal
Paper_DB/Paper_13.pdf,Y1Ba2Cu3O7-d,"Jc at 4.2 K, H = 0 T",12000000,,"Jc at 4.2K, H=0 T"
Paper_DB/Paper_13.pdf,Y1Ba2Cu3O7-d,"Jc at 4.2 K, H = 0 T",2700000,,"Jc at 4.2K, H=0 T"
Paper_DB/Paper_13.pdf,Y1Ba2Cu3O7-d,resistivity at 4.2 K for poly crystal,4.22,mic.ohm.cm,resistivity at 4.2K for poly crystal
Paper_DB/Paper_13.pdf,Y1Ba2Cu3O7-d,*preparation method,16,,The specific technique or process used to create or synthesize the material sample.
Paper_DB/Paper_14.pdf,Y1Ba2Cu3O6.92,common formula of materials,YBa2Cu3O6.92,,common formula of materials
Paper_DB/Paper_14.pdf,Y1Ba2Cu3O6.92,transition temperature (R = 100%),90,,"The critical temperature ($T_c$) of a superconductor, measured at the onset of superconductivity (where electrical resistivity R = 100%)."
Paper_DB/Paper_14.pdf,Y1Ba2Cu3O6.92,Tc (of this sample) recommended,90,K,The recommended superconducting critical temperature ($T_c$) specific to the sample.
Paper_DB/Paper_14.pdf,Y1Ba2Cu3O6.92,resistivity at normal-T for single crystal for J//ab-plane,0.03,m.ohm.cm,"Electrical resistivity of a single crystal superconductor measured in the normal state (above $T_c$), with the current density (J) directed parallel to the crystallographic $ab$-plane."
Paper_DB/Paper_14.pdf,Y1Ba2Cu3O6.92,"Hall coefficient at 300 K for single, H//c-axis",3.00E-10,m3/C,"The Hall coefficient measured at 300 K for a single-crystal material, specifically indicating the response of free charge carriers to a magnetic field applied parallel to the c-axis."
Paper_DB/Paper_14.pdf,Y1Ba2Cu3O6.92,"Hall coefficient at 300 K for single, H//ab-plane",-3.00E-10,m3/C,"The measure of how free charge carriers in a single-crystal material respond to a magnetic field applied parallel to the ab-plane, specifically measured at 300 K."
Paper_DB/Paper_15.pdf,La1.28Nd0.6Sr0.12Cu1O4,common formula of materials,"(La,Nd,Sr)2CuO4",,common formula of materials
Paper_DB/Paper_15.pdf,La1.28Nd0.6Sr0.12Cu1O4,shape,3,,"*sample form (1: single phase(bulk),2: multi phase (bulk),3: single crystal(bulk) ,4:film,5:film(single))"
Paper_DB/Paper_15.pdf,La1.28Nd0.6Sr0.12Cu1O4,common name of structure,T,,"The conventional or informal name for a material's crystal structure, as commonly used within the condensed matter physics community, particularly as it relates to superconducting materials."
Paper_DB/Paper_15.pdf,La1.68Eu0.2Sr0.12Cu1O4,common formula of materials,"(La,Eu,Sr)2CuO4",,common formula of materials
Paper_DB/Paper_15.pdf,La1.68Eu0.2Sr0.12Cu1O4,shape,3,,"*sample form (1: single phase(bulk),2: multi phase (bulk),3: single crystal(bulk) ,4:film,5:film(single))"
Paper_DB/Paper_15.pdf,La1.68Eu0.2Sr0.12Cu1O4,common name of structure,T,,"The conventional or informal name for a material's crystal structure, as commonly used within the condensed matter physics community, particularly as it relates to superconducting materials."
Paper_DB/Paper_15.pdf,La1.96Sr0.04Cu1O4,thermal conductivity at 300 K for heat flow//c-axis,2.37,W/m.K,thermal conductivity at 300K for heat flow//c-axis
Paper_DB/Paper_15.pdf,La1.96Sr0.04Cu1O4,thermal conductivity at 300 K for heat flow//ab-plane,3.88,W/m.K,thermal conductivity at 300K for heat flow//ab-plane
Paper_DB/Paper_15.pdf,La1.98Sr0.02Cu1O4,common formula of materials,"(La,Sr)2CuO4",,common formula of materials
Paper_DB/Paper_15.pdf,La1.98Sr0.02Cu1O4,shape,3,,"*sample form (1: single phase(bulk),2: multi phase (bulk),3: single crystal(bulk) ,4:film,5:film(single))"
Paper_DB/Paper_15.pdf,La1.98Sr0.02Cu1O4,common name of structure,T,,"The conventional or informal name for a material's crystal structure, as commonly used within the condensed matter physics community, particularly as it relates to superconducting materials."
Paper_DB/Paper_15.pdf,La1.98Sr0.02Cu1O4,thermal conductivity at 300 K for heat flow//c-axis,2.37,W/m.K,thermal conductivity at 300K for heat flow//c-axis
Paper_DB/Paper_15.pdf,La1.98Sr0.02Cu1O4,thermal conductivity at 300 K for heat flow//ab-plane,4.32,W/m.K,thermal conductivity at 300K for heat flow//ab-plane
Paper_DB/Paper_15.pdf,La1.99Sr0.01Cu1O4,Neel temperature,242,,Neel temperature
Paper_DB/Paper_15.pdf,La1.99Sr0.01Cu1O4,thermal conductivity at 300 K for heat flow//c-axis,2.37,W/m.K,thermal conductivity at 300K for heat flow//c-axis
Paper_DB/Paper_15.pdf,La1.99Sr0.01Cu1O4,thermal conductivity at 300 K for heat flow//ab-plane,5.79,W/m.K,thermal conductivity at 300K for heat flow//ab-plane
Paper_DB/Paper_15.pdf,La2Cu0.96Zn0.04O4,shape,3,,"*sample form (1: single phase(bulk),2: multi phase (bulk),3: single crystal(bulk) ,4:film,5:film(single))"
Paper_DB/Paper_15.pdf,La2Cu0.96Zn0.04O4,common name of structure,T,,"The conventional or informal name for a material's crystal structure, as commonly used within the condensed matter physics community, particularly as it relates to superconducting materials."
Paper_DB/Paper_15.pdf,La2Cu0.96Zn0.04O4,thermal conductivity at 300 K for heat flow//c-axis,2.27,W/m.K,thermal conductivity at 300K for heat flow//c-axis
Paper_DB/Paper_15.pdf,La2Cu0.96Zn0.04O4,thermal conductivity at 300 K for heat flow//ab-plane,5.61,W/m.K,thermal conductivity at 300K for heat flow//ab-plane
Paper_DB/Paper_15.pdf,La2Cu0.98Zn0.02O4,shape,3,,"*sample form (1: single phase(bulk),2: multi phase (bulk),3: single crystal(bulk) ,4:film,5:film(single))"
