id,material_or_system,sample_label,property_name,category,value_string,value_number,units,method,notes,location.page,location.section,location.source_type,location.evidence,conditions.field_orientation,location.figure_or_table,conditions.current_direction,conditions.field,conditions.temperature,conditions.field_range,conditions.temperature_range,paper_pdf_path,validated,validator_name,validation_date,flagged
prop_035,Ru7B3,,space group,structural,P63mc,,,powder X-ray diffraction,,3,3.1 Crystal structure,text,could be indexed as a Ru7B3 phase with the space group of P63mc,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_036,Ru7B3,single crystal,lattice constant a,structural,,7.441,Å,,,3,3.1 Crystal structure,text,lattice constants ... a = 7.441(5) Å,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_037,Ru7B3,single crystal,lattice constant c,structural,,4.7,Å,,,3,3.1 Crystal structure,text,and c = 4.700(4) Å,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_038,Ru7B3,polycrystal,lattice constant a,structural,,7.467,Å,,,3,3.1 Crystal structure,text,polycrystalline sample ... a = 7.467 Å,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_039,Ru7B3,polycrystal,lattice constant c,structural,,4.713,Å,,,3,3.1 Crystal structure,text,and c = 4.713 Å,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_040,Th7Fe3-type structure,,atomic coordinate,structural,"Th1 at (x=1/3, y=2/3, z=0.06)",,,,,3,3.1 Crystal structure,table,Th1 2b 1/3 2/3 0.06,,Table I,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_041,Th7Fe3-type structure,,atomic coordinate,structural,"Th2 at (x=0.126, y=0.874, z=0.250)",,,,,3,3.1 Crystal structure,table,Th2 6c 0.126 0.874 0.250,,Table I,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_042,Th7Fe3-type structure,,atomic coordinate,structural,"Th3 at (x=0.544, y=0.456, z=0.03)",,,,,3,3.1 Crystal structure,table,Th3 6c 0.544 0.456 0.03,,Table I,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_043,Th7Fe3-type structure,,atomic coordinate,structural,"B at (x=0.815, y=0.185, z=0.31)",,,,,3,3.1 Crystal structure,table,B 6c 0.815 0.185 0.31,,Table I,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_044,Ru7B3,,structure type,structural,hexagonal structure,,,,,3,3.1 Crystal structure,text,Ru7B3 crystallizes in a hexagonal structure,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_045,Ru7B3,,space group,structural,P63mc,,,,,3,3.1 Crystal structure,text,with a space group of P63mc (No. 186),,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_046,Ru7B3,,crystallographic class,structural,C6v,,,,,3,3.1 Crystal structure,text,belongs to the cyclic crystallographic class C6v,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_047,Ru7B3,,inversion symmetry,classification,no inversion symmetry along c-axis,,,,,3,3.1 Crystal structure,text,this crystal structure has no inversion symmetry along the c-axis,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_048,Ru7B3,,boron atomic arrangement,structural,B atoms form isolated triangles in different planes,,,,,3,3.1 Crystal structure,text,B atoms form triangles and these triangles are isolated ... not in the same plane,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_049,Ru7B3,,Rashba-type ASOC expectation,classification,expected unusual superconductivity due to ASOC,,,,,3,3.1 Crystal structure,text,we can expect an unusual superconductivity due to the effect of Rashba-type ASOC,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_050,Ru7B3,single crystal,superconducting transition temperature Tonset,superconducting,,2.8,K,dc magnetic susceptibility,,3,3.2 Magnetic response,text,The low-field susceptibility displays a strong diamagnetic signal due to a superconducting transition temperature with Tonsetc = 2.8 K.,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_051,Ru7B3,polycrystal,superconducting transition temperature Tonset,superconducting,,3.3,K,dc magnetic susceptibility,,3,3.2 Magnetic response,text,the polycrystalline sample shows Tonsetc = 3.3 K,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_052,Ru7B3,,lattice constant contraction,structural,single crystals have slightly narrower lattice constants than polycrystals,,,,,3,3.2 Magnetic response,text,The fractional contraction of the lattice constants for the single crystals also supports the scenario.,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_053,Ru7B3,,superconductivity type,classification,type-II superconducting behavior,,,magnetization M(H),,3,3.2 Magnetic response,text,The magnetization (M–H) curves indicate a typical type-II superconducting behavior.,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_054,Ru7B3,,lower critical field Hc1(0) definition,superconducting,defined as the field for deviating from the linear line for the initial slope,,,,,3,3.2 Magnetic response,text,The lower critical field Hc1(0) is defined as the field for deviating from the linear line for the initial slope.,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_055,Ru7B3,,superconducting transition onset temperature,superconducting,,2.95,K,electrical resistivity,,3,3.3 Electrical resistivity,text,The onset ... temperatures were observed to be 2.95 ... K,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_056,Ru7B3,,zero resistivity temperature,superconducting,,2.8,K,electrical resistivity,,3,3.3 Electrical resistivity,text,and zero-resistivity temperatures were observed to be ... 2.8 K,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_057,Ru7B3,,superconducting transition width,superconducting,,0.1,K,electrical resistivity,defined between 10% and 90% of the transition,3,3.3 Electrical resistivity,text,transition width ... is estimated to be approximately 0.1 K,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_058,Ru7B3,,room temperature resistivity ρ(300K),transport,,97.0,μΩ·cm,,,3,3.3 Electrical resistivity,text,The room-temperature resistivity ρ(300 K) is approximately 97 μΩ cm,,,[100],,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_059,Ru7B3,,residual resistivity ρ(res),transport,,26.0,μΩ·cm,,,3,3.3 Electrical resistivity,text,"the residual resistivity just above Tc, ρ(res), is 26 μΩ cm for J ∥ [100]",,,[100],,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_060,Ru7B3,,residual resistivity ratio RRR,transport,,3.7,,,,3,3.3 Electrical resistivity,text,RRR = 3.7 for J ∥ [100],,,[100],,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_061,Ru7B3,,room temperature resistivity ρ(300K),transport,,55.0,μΩ·cm,,,3,3.3 Electrical resistivity,text,ρ(300 K) = 55 μΩ cm ... for J ∥ [001],,,[001],,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_062,Ru7B3,,residual resistivity ρ(res),transport,,14.0,μΩ·cm,,,3,3.3 Electrical resistivity,text,ρ(res) = 14 μΩ cm for J ∥ [001],,,[001],,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_063,Ru7B3,,residual resistivity ratio RRR,transport,,3.9,,,,3,3.3 Electrical resistivity,text,RRR = 3.9 for J ∥ [001],,,[001],,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_064,Ru7B3,,phonon excitation energy E1,thermal,,10.0,meV,fitting to modified parallel resistor model,,3,3.3 Electrical resistivity,text,phonon excitation energies of E1 and E2 to be 10 meV for J ∥ [001],,,[001],,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_065,Ru7B3,,phonon excitation energy E2,thermal,,10.0,meV,fitting to modified parallel resistor model,,3,3.3 Electrical resistivity,text,phonon excitation energies ... 10 meV for J ∥ [001],,,[001],,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_066,Ru7B3,,phonon excitation energy range,thermal,11–12 meV,,,fitting to modified parallel resistor model,,3,3.3 Electrical resistivity,text,11–12 meV for J ∥ [100],,,[100],,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_067,Ru7B3,,phonon excitation energy range (duplicate E2),thermal,11–12 meV,,,fitting to modified parallel resistor model,,3,3.3 Electrical resistivity,text,11–12 meV for J ∥ [100],,,[100],,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_068,Ru7B3,,Debye temperature ΘD,thermal,,640.0,K,,Referenced for comparison,3,3.3 Electrical resistivity,text,much smaller than the Debye temperature ΘD = 640 K (see below),,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_069,Ru7B3,,specific heat model expression,thermal,C(T) = γT + βT^3,,,,,4,3.4 Specific heat,text,we use the expression C(T) = γT + βT^3,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_070,Ru7B3,,Sommerfeld constant γ,thermal,,43.7,mJ/(K^2 mol),,,4,3.4 Specific heat,text,20 kOe yields a Sommerfeld constant γ = 43.7 mJ/(K2 mol),,,,20 kOe,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_071,Ru7B3,,Debye temperature ΘD,thermal,,640.0,K,,,4,3.4 Specific heat,text,Debye temperature ΘD = 640 K,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_072,Ru7B3,,β coefficient,thermal,,0.147,mJ/(K^4 mol),,,4,3.4 Specific heat,text,β = 0.147 mJ/(K4 mol),,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_073,Ru7B3,,superconducting transition temperature Tc,superconducting,,2.8,K,specific heat,,4,3.4 Specific heat,text,sharp transition at Tc = 2.8 K,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_074,Ru7B3,,superconducting energy gap Δ(0),superconducting,,0.38,meV,fitting Ce(T) ∝ exp[-Δ(0)/kBT],,4,3.4 Specific heat,text,Δ(0) can be estimated to be 0.38 meV,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_075,Ru7B3,,specific heat jump ΔCe/(γ Tc),superconducting,,1.4,,,,4,3.4 Specific heat,text,ΔCe/γTc to be approximately 1.4,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_076,Ru7B3,,BCS gap ratio 2Δ(0)/(kB Tc),superconducting,,3.3,,,,4,3.4 Specific heat,text,2Δ(0)/kBTc to be approximately 3.3,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_077,Ru7B3,,superconducting gap symmetry,classification,isotropic fully-gapped s-wave,,,field dependence of γ(H),,4,3.4 Specific heat,text,the field-linear increase in γ(H) suggests ... fully gapped,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_078,Ru7B3,,Sommerfeld parameter γ(H) field dependence,electronic,γ(H) ∝ H,,,,,4,3.4 Specific heat,figure,γ(H) was obtained ... the field-linear increase in γ(H),,Fig. 6,,,0.45 K,0–14 kOe,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_079,Ru7B3,,lower critical field Hc1(0),superconducting,,53.0,Oe,M–H measurements; fit to Hc1(T)=Hc1(0)[1−(T/Tc)²],,4,3.5 Upper and lower critical fields,text,Hc1(0) is estimated to be approximately 53 Oe for H ∥ [001],[001],,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_080,Ru7B3,,lower critical field Hc1(0),superconducting,,68.0,Oe,M–H measurements; fit to Hc1(T)=Hc1(0)[1−(T/Tc)²],,4,3.5 Upper and lower critical fields,text,Hc1(0) is estimated to be approximately 68 Oe for H ∥ [100],[100],,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_081,Ru7B3,,upper critical field Hc2(0) (GL),superconducting,,17.2,kOe,Ginzburg–Landau theory fit,,4,3.5 Upper and lower critical fields,text,Hc2(0)GL was calculated to be approximately 17.2 kOe for H ∥ [001],[001],,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_082,Ru7B3,,upper critical field Hc2(0) (GL),superconducting,,15.8,kOe,Ginzburg–Landau theory fit,,4,3.5 Upper and lower critical fields,text,Hc2(0)GL was calculated to be approximately 15.8 kOe for H ∥ [100],[100],,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_083,Ru7B3,,dHc2/dT slope,superconducting,,-7.82,kOe/K,,,4,3.5 Upper and lower critical fields,text,slope dHc2/dT was estimated to be −7.82 kOe/K for H ∥ [001],[001],,,,,,T/Tc < 0.5,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_084,Ru7B3,,dHc2/dT slope,superconducting,,-7.07,kOe/K,,,4,3.5 Upper and lower critical fields,text,and −7.07 kOe/K for H ∥ [100],[100],,,,,,T/Tc < 0.5,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_085,Ru7B3,,upper critical field Hc2(0) (WHH),superconducting,,15.2,kOe,Werthamer–Helfand–Hohenberg (WHH) theory,,4,3.5 Upper and lower critical fields,text,WHH theory predicted ... approximately 15.2 kOe for H ∥ [001],[001],,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_086,Ru7B3,,upper critical field Hc2(0) (WHH),superconducting,,13.7,kOe,WHH theory,,4,3.5 Upper and lower critical fields,text,and 13.7 kOe for H ∥ [100],[100],,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_087,Ru7B3,,Hc2(0) increase over WHH,superconducting,,2.0,kOe,,,4,3.5 Upper and lower critical fields,text,The increased Hc2(0) predicted from the WHH theory is estimated to be approximately 2.0 kOe for both [100] and [001].,[100] & [001],,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_088,Ru7B3,,coherence length ξ_GL(0),superconducting,,144.0,Å,,,4,3.5 Upper and lower critical fields,text,coherence length ... 144 Å for H ∥ [100],[100],,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_089,Ru7B3,,penetration depth λ_GL(0),superconducting,,3110.0,Å,,,4,3.5 Upper and lower critical fields,text,penetration depth ... 3110 Å for H ∥ [100],[100],,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_090,Ru7B3,,Ginzburg–Landau parameter κ(0),superconducting,,21.6,,,,4,3.5 Upper and lower critical fields,text,κ(0) was obtained to be 21.6 for H ∥ [100],[100],,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_091,Ru7B3,,coherence length ξ_GL(0),superconducting,,138.0,Å,,,4,3.5 Upper and lower critical fields,text,coherence length ... 138 Å for H ∥ [001],[001],,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_092,Ru7B3,,penetration depth λ_GL(0),superconducting,,3520.0,Å,,,4,3.5 Upper and lower critical fields,text,penetration depth ... 3520 Å for H ∥ [001],[001],,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_093,Ru7B3,,Ginzburg–Landau parameter κ(0),superconducting,,25.5,,,,4,3.5 Upper and lower critical fields,text,κ(0) was obtained to be 25.5 for H ∥ [001],[001],,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_094,Ru7B3,,thermodynamic critical field Hc(0),superconducting,,480.0,Oe,,,4,3.5 Upper and lower critical fields,text,Hc(0) was calculated to be 480 Oe for H ∥ [001],[001],,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_095,Ru7B3,,thermodynamic critical field Hc(0),superconducting,,520.0,Oe,,,4,3.5 Upper and lower critical fields,text,and 520 Oe for H ∥ [100],[100],,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_096,Ru7B3,,noncentrosymmetric effect on superconductivity,classification,no detectable effect on superconducting properties,,,,,5,4. Conclusions,text,we obtain no evidence of the noncentrosymmetric effect on superconducting properties,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_097,Ru7B3,,electron correlation strength (Ru 4d),electronic,weak electron correlation,,,,,5,4. Conclusions,text,One of the reasons might be the weak electron correlation of the 4d electron of Ru.,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_098,Li2Pt3B,,band splitting at Fermi surface,electronic,,200.0,meV,,,5,4. Conclusions,text,energy splitting values of the bands at the Fermi surface are 200 meV (Li2Pt3B),,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_099,Li2Pd3B,,band splitting at Fermi surface,electronic,20–50 meV,,,,,5,4. Conclusions,text,and 20 – 50 meV (Li2Pd3B),,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_100,Re7B3,,superconductivity classification,classification,possible unconventional superconductivity,,,,,5,4. Conclusions,text,Re7B3 has a possibility of exhibiting unconventional superconductivity,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_101,Re7B3,,spin–orbit interaction strength,electronic,much stronger (5d electron),,,,,5,4. Conclusions,text,due to the much stronger spin orbit interaction of a 5d electron,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_102,Re7B3,,crystal growth difficulty,experimental_condition,very difficult due to many phases in Re–B system,,,,,5,4. Conclusions,text,very difficult to synthesize a pure single crystal of Re7B3 because of the existence of many phases,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_103,"T2Ga9 (T = Rh, Ir)",,Fermi surface contribution,electronic,mostly s- or p-electrons of Ga sites,,,,,5,4. Conclusions,text,"In the Ga system, the contribution for the Fermi surface almost accounts for the s- or p-electrons of Ga-sites.",,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_104,Ru7B3,,superconductivity type,classification,type-II superconductor,,,"magnetic susceptibility, resistivity, and magnetization",,5,4. Conclusions,text,"binary type-II superconductor, Ru7B3",,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_105,Ru7B3,,crystal structure,structural,"hexagonal structure, space group P63mc",,,,,5,4. Conclusions,text,Ru7B3 crystallizes in a hexagonal structure with a space group of P63mc,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_106,Ru7B3,,superconducting gap symmetry,classification,isotropic s-wave,,,temperature dependence of Cel below Tc,,5,4. Conclusions,text,we conclude that the symmetry of superconductivity of Ru7B3 corresponds to an isotropic s-wave symmetry,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
